2013 Measure Data: Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,Drug Plan Customer Service,,,,,"Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance",,,,Member Experience with Drug Plan,,,Patient Safety and Accuracy of Drug Pricing ,,,,,
H1291,PFFS,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,0:11,97%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,67,Not enough data available,Not enough data available,Not enough data available,82%,91%,97,4.70%,80.60%,82.80%,80.00%,69.80%
H1302,Local CCP,BLUE CROSS OF IDAHO HLTH SERVICES INC,Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",0:11,93%,6.1,Not enough data available,95%,0.22,60,26%,Medicare shows only a star rating for this topic,Not enough data available,81%,91%,98,5.90%,85.80%,74.30%,75.20%,69.40%
H1303,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:10,91%,2,Not enough data available,94%,0.26,12,8%,Medicare shows only a star rating for this topic,84%,83%,92%,99,8.60%,87.60%,71.50%,75.60%,72.90%
H1304,Local CCP,REGENCE BLUE SHIELD OF IDAHO,Regence BlueShield Of Idaho,"Cambia Health Solutions, Inc.",0:02,95%,4.8,Not enough data available,93%,0.1,60,7%,Medicare shows only a star rating for this topic,85%,82%,93%,99,10.40%,83.50%,76.30%,77.90%,73.60%
H1350,Local CCP,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC",Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",0:11,93%,14.5,Not enough data available,96%,0.11,60,8%,Medicare shows only a star rating for this topic,Not enough data available,85%,93%,98,7.20%,84.80%,78.40%,80.50%,75.70%
H1365,Local CCP,"MARTIN'S POINT GENERATIONS, LLC",Martin's Point Generations Advantage,"Martin's Point Health Care, Inc.",0:24,89%,7.2,Not enough data available,98%,0.22,80,9%,Not enough data available,84%,86%,92%,99,3.80%,90.60%,75.10%,79.20%,74.70%
H1406,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0:09,97%,0,Not enough data available,96%,0.42,47,6%,Medicare shows only a star rating for this topic,80%,86%,91%,97,4.50%,86.10%,74.60%,74.80%,68.60%
H1415,Local CCP,"HEALTHSPRING OF TENNESSEE, INC.","HealthSpring, Inc.",CIGNA,0:32,85%,0,Not enough data available,94%,0.45,80,13%,Medicare shows only a star rating for this topic,Not enough data available,85%,90%,99,4.70%,88.30%,69.80%,68.70%,61.60%
H1416,Local CCP,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",WellCare,"WellCare Health Plans, Inc.",0:16,86%,0,Not enough data available,98%,0.49,80,11%,Medicare shows only a star rating for this topic,77%,84%,90%,99,4.00%,88.60%,67.40%,68.10%,58.00%
H1417,Local CCP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Health Alliance Medical Plans,0:08,88%,0,Not enough data available,94%,0.37,80,5%,Medicare shows only a star rating for this topic,84%,86%,92%,99,8.10%,83.70%,79.70%,81.60%,76.60%
H1418,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:09,97%,1,Not enough data available,97%,0.48,67,9%,Medicare shows only a star rating for this topic,82%,84%,90%,97,5.10%,83.70%,78.20%,77.50%,72.70%
H1419,Local CCP,"AETNA HEALTH,  INC. (PA)",Aetna Medicare,Aetna Inc.,0:44,89%,Not enough data available,Not enough data available,100%,Not enough data available,40,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,99,0.60%,86.50%,69.70%,67.00%,61.70%
H1444,Local CCP,"TOTAL HEALTH CARE, INC.",Total Medicare Plus,"Total Health Care, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1463,Local CCP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Health Alliance Medical Plans,0:08,88%,0,Not enough data available,Not enough data available,0.17,80,2%,Medicare shows only a star rating for this topic,88%,88%,94%,99,8.80%,83.80%,82.00%,84.10%,79.00%
H1468,Local CCP,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana Benefit Plan of Illinois, Inc.",Humana Inc.,0:09,97%,0,Not enough data available,95%,0.15,67,6%,Medicare shows only a star rating for this topic,81%,87%,93%,97,8.70%,84.90%,80.60%,82.20%,76.30%
H1509,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,90%,0.8,93%,93%,0.22,0,2%,Medicare shows only a star rating for this topic,Not enough data available,85%,92%,99,10.10%,83.40%,75.20%,75.90%,71.00%
H1510,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:11,97%,0.4,Not enough data available,94%,0.19,67,18%,Medicare shows only a star rating for this topic,84%,85%,90%,98,8.20%,83.90%,78.30%,78.70%,74.90%
H1517,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:06,64%,CMS identified issues with plan’s data,Not enough data available,95%,0.63,47,9%,Medicare shows only a star rating for this topic,Not enough data available,88%,91%,96,8.90%,86.20%,77.90%,78.10%,75.50%
H1537,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,91%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H1595,Local CCP,HEALTHPLUS INSURANCE COMPANY,HealthPlus,HealthPlus of Michigan,0:20,84%,Not enough data available,Not enough data available,97%,0.48,100,Not enough data available,Not enough data available,Not enough data available,86%,92%,98,10.50%,84.50%,74.50%,79.40%,75.70%
H1607,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:07,74%,32.7,Not enough data available,93%,0.68,47,12%,Medicare shows only a star rating for this topic,81%,82%,90%,96,8.20%,81.80%,73.20%,76.00%,70.10%
H1608,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Health Care Inc.,0:08,89%,1.9,Not enough data available,97%,0.3,40,7%,Medicare shows only a star rating for this topic,Not enough data available,85%,94%,99,5.60%,83.30%,78.10%,79.20%,73.90%
H1609,Local CCP,"COVENTRY HEALTH CARE OF IOWA, INC.",Coventry Health Care,Coventry Health Care Inc.,0:08,89%,2.9,Not enough data available,98%,0.18,40,12%,Medicare shows only a star rating for this topic,82%,86%,93%,99,6.30%,84.00%,79.40%,76.90%,75.00%
H1659,Local CCP,"PIEDMONT COMMUNITY HEALTHCARE, INC.",Piedmont Medicare Advantage,Piedmont Community Health Plan,0:24,81%,Not enough data available,Not enough data available,Not enough data available,0.59,80,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,98,4.10%,86.50%,75.50%,79.10%,74.10%
H1666,Local CCP,HCSC INSURANCE SERVICES COMPANY,Blue Cross Blue Shield of Texas,Health Care Service Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1681,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:09,97%,0,Not enough data available,97%,0.74,67,26%,Medicare shows only a star rating for this topic,86%,86%,92%,98,13.20%,84.60%,73.40%,72.80%,67.80%
H1716,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:09,97%,0.8,Not enough data available,98%,0.49,67,25%,Medicare shows only a star rating for this topic,82%,85%,91%,98,8.10%,84.50%,78.70%,76.30%,72.50%
H1717,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,90%,4.3,Not enough data available,99%,0.38,12,18%,Medicare shows only a star rating for this topic,Not enough data available,80%,91%,98,9.80%,81.30%,68.10%,67.90%,65.60%
H1777,Local CCP,"CATHOLIC SPECIAL NEEDS PLAN, LLC","ArchCare Advantage,HMO SNP",Catholic Health Care System,0:24,89%,10.6,Not enough data available,Not enough data available,0.15,80,3%,Medicare shows only a star rating for this topic,Not enough data available,Not enough data available,Not enough data available,92,5.90%,73.60%,71.00%,71.60%,72.50%
H1806,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:11,97%,0,Not enough data available,94%,0.18,67,18%,Medicare shows only a star rating for this topic,Not enough data available,85%,91%,97,10.10%,84.20%,76.40%,77.30%,70.50%
H1846,Local CCP,MOUNT CARMEL HEALTH INSURANCE COMPANY,MediGold,Trinity Health,0:24,95%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,83%,89%,99,9.00%,80.50%,62.60%,74.20%,67.30%
H1849,Local CCP,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:07,74%,9.8,Not enough data available,98%,0.31,47,5%,Medicare shows only a star rating for this topic,Not enough data available,83%,90%,97,9.20%,80.00%,72.60%,74.60%,69.60%
H1903,Local CCP,"WELLCARE OF LOUISIANA, INC.",WellCare,"WellCare Health Plans, Inc.",0:16,86%,0,Not enough data available,98%,0.64,80,16%,Medicare shows only a star rating for this topic,83%,85%,90%,99,11.60%,85.50%,61.10%,65.00%,59.70%
H1906,PFFS,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","Humana Health Benefit Plan of LA, Inc.",Humana Inc.,0:09,97%,2.9,Not enough data available,Not enough data available,0.55,67,6%,Medicare shows only a star rating for this topic,86%,89%,93%,97,11.00%,80.70%,74.60%,75.80%,71.20%
H1944,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,91%,4,Not enough data available,96%,0.43,12,9%,Medicare shows only a star rating for this topic,Not enough data available,83%,91%,99,3.00%,85.20%,74.30%,77.00%,71.30%
H1951,Local CCP,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","Humana Health Benefit Plan of Louisiana, Inc.",Humana Inc.,0:09,97%,CMS identified issues with plan’s data,92%,96%,0.21,47,3%,Medicare shows only a star rating for this topic,82%,86%,90%,97,12.20%,84.70%,73.70%,74.10%,68.90%
H1961,Local CCP,"PEOPLES HEALTH, INC.",Peoples Health,"PH Holdings, LLC",0:10,93%,0.6,Not enough data available,88%,0.13,100,3%,Medicare shows only a star rating for this topic,85%,87%,93%,98,13.20%,84.70%,72.10%,71.70%,67.00%
H1994,Local CCP,"SELECTHEALTH, INC.",SelectHealth,"Intermountain Health Care, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2001,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,91%,0,Not enough data available,96%,0.28,0,10%,Medicare shows only a star rating for this topic,Not enough data available,84%,92%,99,4.20%,83.00%,79.40%,82.10%,75.60%
H2012,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0:09,97%,0.4,82%,96%,0.65,67,12%,Medicare shows only a star rating for this topic,82%,87%,91%,98,9.00%,85.30%,76.10%,75.20%,70.90%
H2029,Local CCP,"HUMANA INSURANCE OF PUERTO RICO, INC.","Humana Insurance of Puerto Rico, Inc.",Humana Inc.,0:11,86%,0,Not enough data available,96%,0.58,47,15%,Medicare shows only a star rating for this topic,Not enough data available,83%,87%,98,7.60%,90.50%,59.20%,58.30%,40.10%
H2034,Local CCP,"COMMUNITY CARE HEALTH PLAN, INC.",Community Care,"Community Care, Inc.",0:02,66%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,97,14.80%,72.00%,Not enough data available,76.40%,77.50%
H2038,PFFS,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2108,Local CCP,BRAVO HEALTH MID- ATLANTIC INC.,Bravo Health,CIGNA,0:36,80%,0,Not enough data available,95%,0.97,80,10%,Medicare shows only a star rating for this topic,Not enough data available,78%,84%,99,5.70%,84.80%,66.40%,66.40%,60.80%
H2111,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,87%,0,Not enough data available,Not enough data available,0.17,12,6%,Medicare shows only a star rating for this topic,Not enough data available,Not enough data available,Not enough data available,99,11.90%,74.90%,75.50%,76.00%,72.80%
H2112,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,0:47,89%,2.1,Not enough data available,91%,0.83,40,8%,Medicare shows only a star rating for this topic,81%,80%,91%,98,3.10%,84.80%,73.80%,76.60%,70.40%
H2150,1876 Cost,KAISER FNDN HP OF THE MID-ATLANTIC STS,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",Plan not required to report measure,Plan not required to report measure,0,Not enough data available,93%,0.3,80,2%,Medicare shows only a star rating for this topic,Not enough data available,90%,93%,99,3.90%,90.90%,78.90%,80.30%,75.50%
H2161,Local CCP,"UPPER PENINSULA HEALTH PLAN, INC.",Upper Peninsula Health Plan Plus (HMO SNP),"UPPER PENINSULA HEALTH PLAN, INC.",0:27,80%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,80,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,98,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H2165,Local CCP,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",HealthSpring Life & Health,CIGNA,0:36,80%,9.7,Not enough data available,89%,0.98,80,12%,Medicare shows only a star rating for this topic,Not enough data available,83%,92%,99,10.70%,85.80%,72.30%,66.70%,64.40%
H2174,Local CCP,TRILLIUM COMMUNITY HEALTH PLAN,Trillium Advantage,"Agate Resources,  Inc.",0:19,96%,38.4,Not enough data available,Not enough data available,0.25,100,4%,Medicare shows only a star rating for this topic,89%,87%,93%,98,15.10%,84.10%,80.20%,79.90%,80.30%
H2182,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,91%,1.3,Not enough data available,96%,0.53,12,16%,Medicare shows only a star rating for this topic,83%,83%,92%,99,7.20%,86.40%,63.70%,64.80%,58.60%
H2224,Local CCP,"SENIOR WHOLE HEALTH, LLC",Senior Whole Health,"SWH Holdings, Inc.",0:13,50%,7.2,Not enough data available,Not enough data available,0.02,100,4%,Medicare shows only a star rating for this topic,Not enough data available,86%,91%,98,9.90%,80.20%,82.20%,78.50%,77.20%
H2225,Local CCP,"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",0:25,81%,0,Not enough data available,Not enough data available,0,100,3%,Medicare shows only a star rating for this topic,Not enough data available,88%,92%,99,5.30%,85.80%,82.40%,79.10%,77.60%
H2226,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",0:13,87%,1.8,Not enough data available,Not enough data available,0.09,12,4%,Medicare shows only a star rating for this topic,Not enough data available,88%,92%,99,8.30%,83.80%,76.80%,76.00%,70.80%
H2228,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,87%,0,Not enough data available,Not enough data available,0,12,15%,Medicare shows only a star rating for this topic,Not enough data available,Not enough data available,Not enough data available,99,8.60%,67.10%,80.10%,79.90%,79.20%
H2230,Local CCP,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,"Blue Cross and Blue Shield of Massachusetts, Inc.",0:13,91%,2,Not enough data available,99%,0.12,100,8%,Medicare shows only a star rating for this topic,84%,82%,91%,98,4.30%,82.00%,81.60%,82.60%,76.90%
H2237,Local CCP,"INDEPENDENT CARE HEALTH PLAN, INC.",iCare,Independent Care Health Plan Inc.,0:06,92%,2.3,Not enough data available,Not enough data available,0.21,100,6%,Medicare shows only a star rating for this topic,87%,87%,88%,99,8.90%,89.30%,57.30%,59.30%,58.30%
H2241,Local CCP,GOLDEN STATE MEDICARE HEALTH PLAN,"Golden State Medicare Health Plan, Golden (HMO)",Golden State Medicare Health Plan,0:28,87%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,80,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,99,11.10%,87.50%,80.90%,74.10%,75.40%
