Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,Part D,,,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary  Hold Time - DMC09,Call Center – Information Accuracy- DMC10,Access,,,Call Center,,,Drug Pricing and Patient Safety,,,Plan Finder
H1112,"WELLCARE OF GEORGIA, INC.","WellCare Health Plans, Inc.",Local CCP,45%,90%,36%,59%,93%,57%,45%,N/A,0:22,86%,Not measured,Not measured,90.91%,2.05%,0:22,86.00%,6.3%,1.0%,99.80%,100.00%
H1170,"KAISER FOUNDATION HP OF GA, INC.","Kaiser Foundation Health Plan, Inc.",Local CCP,62%,82%,62%,73%,93%,69%,49%,92%,0:56,96%,Not measured,Not measured,100.00%,1.21%,0:56,85.00%,3.9%,1.2%,99.30%,100.00%
H1200,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",1876 Cost,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,100.00%
H1216,"HARMONY HEALTH PLAN OF ILLINOIS, INC.","WellCare Health Plans, Inc.",Local CCP,33%,91%,Not enough data available to calculate measure,Not enough data available to calculate measure,87%,45%,Not enough data available to calculate measure,N/A,0:18,86%,Not measured,Not measured,Not measured,3.75%,0:18,86.00%,5.8%,1.1%,99.50%,100.00%
H1230,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",Local CCP,Not enough data available to calculate measure,97%,64%,76%,95%,79%,39%,93%,0:09,96%,Not measured,Not measured,100.00%,0.81%,0:09,85.00%,2.5%,0.8%,89.20%,100.00%
H1251,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),Hawaii Medical Service Association,1876 Cost,59%,95%,47%,84%,93%,73%,29%,94%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,100.00%,40.00%,Not measured,Not measured,Not measured,5.4%,1.1%,99.90%,69.23%
H1264,"WELLCARE OF TEXAS, INC.","WellCare Health Plans, Inc.",Local CCP,61%,91%,32%,Not enough data available to calculate measure,93%,51%,43%,N/A,0:20,86%,Not measured,Not measured,100.00%,1.23%,0:20,86.00%,5.3%,0.5%,99.80%,100.00%
H1286,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,57%,63%,89%,80%,Not enough data available to calculate measure,88%,0:28,95%,0.00%,100.00%,100.00%,1.81%,0:28,86.00%,6.3%,2.0%,99.70%,100.00%
H1291,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Inc.,PFFS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not measured,Not measured,100.00%,3.49%,0:47,96.00%,Not measured,Not measured,99.00%,92.31%
H1302,BLUE CROSS OF IDAHO HLTH SERVICES INC,"Blue Cross of Idaho Health Services, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,89%,1:18,97%,Not measured,50.00%,100.00%,0.51%,1:18,87.00%,6.6%,1.2%,98.20%,100.00%
H1303,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,55%,88%,51%,Not enough data available to calculate measure,89%,70%,23%,91%,0:29,95%,100.00%,Not measured,100.00%,1.50%,0:29,86.00%,7.3%,2.2%,98.60%,100.00%
H1304,REGENCE BLUE SHIELD OF IDAHO,The Regence Group,Local CCP,Not enough data available to calculate measure,70%,45%,Not enough data available to calculate measure,90%,77%,24%,90%,0:24,97%,Not measured,Not measured,100.00%,0.00%,0:24,91.00%,9.9%,2.5%,99.40%,100.00%
H1350,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC","Blue Cross of Idaho Health Services, Inc.",Local CCP,32%,56%,61%,83%,91%,78%,32%,91%,1:18,97%,Not measured,100.00%,97.63%,0.51%,1:18,87.00%,7.9%,1.3%,99.30%,100.00%
H1355,"BRAVO HEALTH INSURANCE COMPANY, INC.","HealthSpring, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:21,96%,Not measured,Not measured,Not measured,1.04%,0:21,78.00%,12.3%,0.0%,99.10%,100.00%
H1365,"MARTIN'S POINT GENERATIONS, LLC","Martin's Point Health Care, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:26,93%,Not measured,Not measured,41.67%,0.83%,0:41,89.00%,2.2%,0.0%,96.70%,100.00%
H1406,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Local CCP,42%,97%,47%,88%,90%,54%,23%,91%,0:49,96%,100.00%,100.00%,96.30%,3.77%,0:49,96.00%,5.4%,1.3%,99.80%,92.31%
H1415,"HEALTHSPRING OF TENNESSEE, INC.","HealthSpring, Inc.",Local CCP,39%,73%,33%,68%,91%,45%,22%,92%,1:10,91%,100.00%,Not measured,100.00%,0.63%,0:37,74.00%,5.6%,1.2%,97.50%,100.00%
H1416,"HARMONY HEALTH PLAN OF ILLINOIS, INC.","WellCare Health Plans, Inc.",Local CCP,24%,91%,27%,76%,85%,42%,26%,N/A,0:19,86%,Not measured,Not measured,Not measured,0.82%,0:19,86.00%,4.2%,1.0%,99.50%,100.00%
H1417,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Local CCP,Not enough data available to calculate measure,74%,60%,Not enough data available to calculate measure,93%,80%,33%,92%,1:22,98%,Not measured,Not measured,100.00%,0.00%,1:22,88.00%,9.3%,1.3%,97.60%,100.00%
H1418,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,70%,97%,62%,88%,89%,70%,38%,91%,0:49,96%,66.67%,Not measured,94.59%,3.77%,0:49,96.00%,7.6%,1.2%,99.40%,92.31%
H1419,"AETNA HEALTH,  INC.",Aetna Inc.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,56%,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,3.1%,1.2%,99.90%,100.00%
H1463,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Local CCP,Not enough data available to calculate measure,74%,70%,Not enough data available to calculate measure,95%,77%,24%,92%,1:22,98%,Not measured,Not measured,100.00%,0.00%,1:22,88.00%,8.5%,1.8%,99.10%,100.00%
H1468,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.",Humana Inc.,Local CCP,Not enough data available to calculate measure,97%,Not enough data available to calculate measure,Not enough data available to calculate measure,94%,72%,Not enough data available to calculate measure,91%,0:49,96%,Not measured,Not measured,Not measured,3.77%,0:49,96.00%,8.3%,1.1%,99.80%,92.31%
H1509,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,63%,88%,59%,79%,86%,72%,29%,90%,0:29,95%,86.67%,100.00%,100.00%,1.25%,0:29,86.00%,6.3%,1.7%,98.00%,100.00%
H1510,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,63%,97%,66%,86%,86%,71%,36%,91%,0:47,96%,66.67%,Not measured,94.12%,3.49%,0:47,96.00%,7.5%,1.0%,99.90%,92.31%
H1517,"ANTHEM INSURANCE COMPANIES, INC.","WellPoint, Inc.",Local CCP,Not enough data available to calculate measure,86%,Not enough data available to calculate measure,Not enough data available to calculate measure,88%,83%,Not enough data available to calculate measure,91%,0:13,86%,Not measured,Not measured,96.67%,0.62%,0:13,68.00%,6.0%,1.7%,99.20%,100.00%
H1558,WELBORN HEALTH PLAN,"Neighborhood Health Providers, Inc.",1876 Cost,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,73%,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,100.00%
H1595,HEALTHPLUS INSURANCE COMPANY,HealthPlus of Michigan,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:31,94%,Not measured,Not measured,Not measured,0.81%,0:31,78.00%,11.3%,0.3%,90.30%,100.00%
H1607,"ANTHEM INSURANCE COMPANIES, INC.","WellPoint, Inc.",Local CCP,Not enough data available to calculate measure,86%,Not enough data available to calculate measure,Not enough data available to calculate measure,84%,75%,44%,91%,0:13,86%,Not measured,Not measured,100.00%,0.58%,0:13,68.00%,6.9%,1.5%,99.70%,100.00%
H1608,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care Inc.,Local CCP,Not enough data available to calculate measure,79%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,68%,Not enough data available to calculate measure,91%,0:18,94%,Not measured,Not measured,88.89%,0.00%,0:26,84.00%,5.2%,0.8%,99.20%,100.00%
H1609,"COVENTRY HEALTH CARE OF IOWA, INC.",Coventry Health Care Inc.,Local CCP,Not enough data available to calculate measure,79%,67%,Not enough data available to calculate measure,88%,71%,32%,91%,0:18,94%,Not measured,Not measured,100.00%,0.81%,0:31,84.00%,6.8%,1.0%,99.10%,100.00%
H1651,"MEDICAL ASSOCIATES HEALTH PLAN, INC.",Medical Associates Clinic,1876 Cost,Not enough data available to calculate measure,56%,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,71%,28%,93%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,100.00%
H1657,"HARMONY HEALTH PLANS OF ILLINOIS, INC.","WellCare Health Plans, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,49%,Plan too small to be measured,Not enough data available to calculate measure,0:19,86%,Not measured,Not measured,Not measured,0.00%,0:19,86.00%,6.5%,0.6%,100.00%,100.00%
H1659,"PIEDMONT COMMUNITY HEALTHCARE, INC.",Piedmont Community Health Plan,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not measured,Not measured,Not measured,0.00%,0:33,76.00%,Not measured,Not measured,92.10%,100.00%
H1681,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Not enough data available to calculate measure,97%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,68%,Not enough data available to calculate measure,91%,0:49,96%,Not measured,Not measured,98.00%,3.77%,0:49,96.00%,6.9%,1.8%,99.90%,92.31%
H1689,"ANTHEM INSURANCE COMPANIES, INC.","WellPoint, Inc.",PFFS,44%,86%,69%,78%,84%,82%,36%,91%,0:12,86%,Not measured,Not measured,100.00%,0.61%,0:12,68.00%,7.7%,1.3%,98.90%,100.00%
H1716,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,56%,97%,66%,81%,89%,80%,51%,92%,0:49,96%,100.00%,Not measured,93.10%,3.77%,0:49,96.00%,6.4%,0.9%,99.80%,92.31%
H1717,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,60%,Not enough data available to calculate measure,90%,0:29,95%,Not measured,Not measured,Not measured,1.35%,0:29,86.00%,7.8%,1.1%,99.40%,100.00%
H1777,"CATHOLIC SPECIAL NEEDS PLAN, LLC","Catholic Health Care System, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,7.8%,0.0%,96.40%,100.00%
H1804,HUMANA INSURANCE COMPANY,Humana Inc.,PFFS,47%,97%,64%,92%,92%,62%,38%,Not enough data available to calculate measure,0:49,96%,100.00%,Not measured,66.67%,3.77%,0:49,96.00%,8.4%,1.1%,100.00%,92.31%
H1806,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,60%,97%,52%,89%,92%,68%,41%,91%,0:47,96%,100.00%,Not measured,96.77%,3.49%,0:47,96.00%,8.2%,1.1%,99.70%,92.31%
H1807,"UNIVERSITY HEALTH CARE, INC.","University Health Care, Inc.",Local CCP,25%,90%,38%,89%,90%,54%,31%,89%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,100.00%,Not measured,Not measured,Not measured,13.0%,1.0%,99.80%,100.00%
H1837,"ESSENCE HEALTHCARE, INC.",Essence Group Holdings Corporation,Local CCP,Not enough data available to calculate measure,92%,62%,79%,93%,79%,Not enough data available to calculate measure,91%,0:19,91%,100.00%,100.00%,100.00%,1.64%,0:19,83.00%,5.7%,2.0%,99.50%,100.00%
H1846,MOUNT CARMEL HEALTH INSURANCE COMPANY,Trinity Health,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,79%,Plan too small to be measured,Not enough data available to calculate measure,0:09,95%,Not measured,Not measured,Not measured,0.00%,0:09,93.00%,6.1%,0.7%,95.90%,100.00%
H1849,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.","WellPoint, Inc.",Local CCP,56%,86%,43%,61%,93%,61%,27%,93%,0:13,86%,Not measured,100.00%,88.89%,0.58%,0:13,68.00%,8.7%,0.3%,99.70%,100.00%
H1903,"WELLCARE OF LOUISIANA, INC.","WellCare Health Plans, Inc.",Local CCP,44%,91%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,53%,30%,N/A,0:27,86%,Not measured,Not measured,100.00%,1.24%,0:27,86.00%,8.6%,0.7%,99.80%,100.00%
H1906,"HUMANA HEALTH BENEFIT PLAN OF LA, INC.",Humana Inc.,PFFS,57%,97%,56%,Not enough data available to calculate measure,90%,55%,26%,92%,0:49,96%,Not measured,Not measured,Not measured,3.77%,0:49,96.00%,9.7%,1.5%,99.90%,92.31%
H1944,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,86%,80%,Not enough data available to calculate measure,90%,0:26,95%,Not measured,Not measured,100.00%,1.36%,0:26,86.00%,5.2%,1.8%,99.10%,100.00%
H1951,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.",Humana Inc.,Local CCP,50%,97%,50%,89%,92%,71%,40%,92%,0:49,96%,87.50%,100.00%,90.95%,3.77%,0:49,96.00%,9.0%,1.3%,99.60%,92.31%
H1961,"PEOPLES HEALTH, INC.","New Orleans Reg Physician Hosp Organization, Inc.",Local CCP,34%,65%,55%,84%,93%,64%,44%,91%,0:24,95%,100.00%,50.00%,95.65%,3.02%,0:24,82.00%,9.8%,0.6%,99.40%,100.00%
H2001,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,88%,79%,Not enough data available to calculate measure,93%,0:26,95%,100.00%,100.00%,Not measured,1.36%,0:26,86.00%,5.8%,2.4%,96.70%,100.00%
H2012,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Local CCP,38%,97%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,0:49,96%,100.00%,100.00%,97.93%,3.77%,0:49,96.00%,7.1%,0.7%,99.80%,92.31%
H2029,"HUMANA INSURANCE OF PUERTO RICO, INC.",Humana Inc.,Local CCP,Not enough data available to calculate measure,54%,Not enough data available to calculate measure,Not enough data available to calculate measure,98%,76%,Not enough data available to calculate measure,93%,1:26,96%,Not measured,Not measured,100.00%,4.94%,1:26,97.00%,5.0%,0.9%,Not measured,92.31%
