CY2010 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,
  * See next worksheet for technical notes.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Part D,,,,,,,,,,Part C,,,,,,,,,,,,,,
,,,Access,,,Call Center,,,Complaints,Patient Safety,,Plan Finder,Call Center,,1/1/2008 - 12/31/2008,1/1/2008 - 12/31/2008,1/1/2008 - 12/31/2008,,,,,,,,,,
H6141,Sidney Hillman HC,SIDNEY HILLMAN HC,,,,,,,,,,,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6142,"Union Health Service, Inc.","UNION HEALTH SERVICES, INC.",,,,,,,,,,,Plan not required to report measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H6143,Union Medical Center,UNION MEDICAL CENTER,,,,,,,,,,,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6178,CareSource,CARESOURCE,Not measured,Not measured,Not measured,0.76%,0.67%,98.61%,,7.14%,1.96%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6181,AMERIGROUP Community Care,"AMERIGROUP NEW YORK, LLC",Not measured,Not measured,73.48%,0.88%,0.00%,92.31%,,0.00%,0.00%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6264,Health Plus Elite,"HEALTHPLUS PHSP, INC.",Not measured,Not measured,95.89%,2.17%,1.35%,91.84%,,Not measured,Not measured,95.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H6328,Care N' Care Health Plan,"CARE N' CARE INSURANCE COMPANY, INC.",Not measured,Not measured,95.18%,0.00%,0.80%,89.53%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H6331,"Boro Medical, P.C.",BORO MEDICAL CENTER,,,,,,,,,,,Plan not required to report measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H6334,NY Hotel Trades Council and Hotel Assn. of NYC,NY HOTEL TRADES COUNCIL and HOTEL ASSN OF NYC,,,,,,,,,,,Plan not required to report measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H6411,Humana Insurance Company,HUMANA INSURANCE COMPANY,Not measured,Not measured,78.19%,2.77%,0.83%,88.06%,,0.00%,0.00%,100.00%,Plan too small to be measured,79.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6421,Bravo  Health,BRAVO HEALTH MID- ATLANTIC INC.,Not measured,Not measured,Not measured,0.00%,2.17%,94.81%,,0.00%,0.00%,95.00%,Plan too small to be measured,81.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6528,Care Improvement PPO,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,Not measured,Not measured,Not measured,3.25%,2.08%,87.18%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H6609,Humana Insurance Company,HUMANA INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H6642,"Universal HMO of Texas, Inc.","UNIVERSAL HMO OF TEXAS, INC.",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H6864,GuildNet,"GUILDNET, INC.",Not measured,Not measured,5.26%,1.55%,3.17%,80.77%,,0.00%,0.00%,100.00%,Plan too small to be measured,84.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6900,Humana Insurance Company,HUMANA INSURANCE COMPANY,Not measured,Not measured,73.28%,2.56%,0.79%,90.74%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H6923,Aetna Medicare,AETNA HEALTH,Not measured,Not measured,81.71%,0.00%,0.00%,94.37%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H6952,Great Lakes Personal Care Plus,"GREAT LAKES HEALTH PLAN, INC.",Not measured,Not measured,73.28%,1.44%,0.00%,92.00%,,0.00%,0.00%,100.00%,Plan too small to be measured,83.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H7002,Humana Insurance Company,HUMANA INSURANCE COMPANY,Not measured,Not measured,Not measured,2.51%,0.80%,89.83%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H7006,"Marion Polk Community Health Plan Advantage, Inc.","MARION POLK COMMUNITY HEALTH PLAN ADVANTAGE, INC.",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H7015,Healthfirst NJ,"HEALTHFIRST HEALTH PLAN OF NEW JERSEY, INC.",Not measured,Not measured,41.83%,0.72%,0.67%,75.86%,,0.00%,0.81%,100.00%,66.84%,79.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H7086,Community Health Group,COMMUNITY HEALTH GROUP,Not measured,Not measured,100.00%,0.80%,1.65%,95.83%,,0.00%,1.14%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H7149,Coventry Health Care of Nebraska Advantra,"COVENTRY HEALTH CARE OF NEBRASKA, INC.",Not measured,Not measured,51.95%,0.00%,2.21%,89.29%,,0.00%,0.67%,100.00%,Plan too small to be measured,88.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H7179,Arcadian Community Care,"ARCADIAN HEALTH PLAN OF LOUISIANA, INC.",Not measured,Not measured,79.53%,0.96%,0.00%,89.29%,,1.39%,1.15%,100.00%,97.53%,85.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H7187,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,81.61%,2.08%,1.88%,96.08%,,1.00%,1.72%,100.00%,70.16%,88.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H7188,Humana Insurance Company,HUMANA INSURANCE COMPANY,75.00%,100.00%,85.97%,2.51%,0.80%,89.83%,,2.44%,1.09%,100.00%,78.20%,78.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H7200,AMERIGROUP Community Care,"AMERIGROUP TENNESSEE, INC.",0.00%,0.00%,77.56%,0.85%,0.00%,91.01%,,0.00%,0.00%,100.00%,Plan too small to be measured,84.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H7220,"Clarian Health Plans, Inc. - Clarian Medicare","CLARIAN HEALTH PLANS, INC.",Not measured,Not measured,85.57%,0.73%,0.00%,92.98%,,Not measured,Not measured,95.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H7226,HARVARD PILGRIM HEALTH CARE INC.,HARVARD PILGRIM HEALTH CARE INC.,Not measured,Not measured,59.21%,0.00%,2.48%,94.64%,,0.11%,1.40%,100.00%,Plan not required to report measure,84.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H7252,Physicians Health Choice,PHYSICIANS HEALTH CHOICE OF ARKANSAS,Not measured,Not measured,63.16%,0.00%,0.00%,98.63%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H7281,Bravo Health,"BRAVO HEALTH PENNSYLVANIA, INC.",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H7292,Alliance for Health,ALAMEDA ALLIANCE JOINT POWERS AUTHORITY (JPA),Not measured,Not measured,56.66%,0.78%,2.48%,93.83%,,0.00%,0.00%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H7301,PersonalCare Advantra,PERSONAL CARE INSURANCE OF ILLINOIS,Not measured,Not measured,59.71%,0.00%,2.21%,97.06%,,0.00%,1.56%,100.00%,Plan too small to be measured,83.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H7306,Coventry Advantra,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,Not measured,Not measured,54.63%,0.00%,2.21%,89.33%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H7352,University Physicians/Maricopa Care Advantage,UPH/MIHS VENTURES L.L.C.,Not measured,Not measured,90.29%,4.10%,0.00%,97.62%,,0.00%,0.57%,100.00%,Plan too small to be measured,87.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H7406,Bravo Health,"BRAVO HEALTH INSURANCE COMPANY,  INC.",Not measured,Not measured,Not measured,0.00%,2.17%,93.24%,,3.21%,0.00%,95.00%,Plan too small to be measured,81.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H7475,"Care Wisconsin Health Plan, Inc.","CARE WISCONSIN HEALTH PLAN, INC.",Not measured,Not measured,42.86%,0.72%,0.00%,98.15%,,0.00%,0.00%,100.00%,Plan not required to report measure,83.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H7526,Medica Health Plans,MEDICA HEALTH PLANS,Not measured,100.00%,60.00%,0.00%,4.13%,100.00%,,0.00%,17.95%,100.00%,Plan too small to be measured,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H7678,"Molina Healthcare of Texas, Inc.","MOLINA HEALTHCARE OF TEXAS, INC.",Not measured,Not measured,83.19%,3.70%,1.73%,96.61%,,0.00%,1.22%,100.00%,Plan too small to be measured,86.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H7731,MD Care Inc,"MD CARE, INC.",100.00%,100.00%,55.14%,0.00%,0.00%,98.33%,,0.00%,2.08%,100.00%,82.96%,88.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H7787,HealthSpring Medicare Advantage,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Not measured,Not measured,68.50%,1.13%,1.09%,100.00%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H7908,Aetna Medicare,AETNA HEALTH,100.00%,Not measured,83.87%,0.00%,0.00%,92.75%,,0.00%,1.92%,100.00%,Plan too small to be measured,82.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H7917,BlueCross BlueShield of Tennessee,BLUE CROSS BLUE SHIELD OF TENNESSEE,Not measured,Not measured,91.90%,1.61%,0.00%,97.53%,,12.90%,8.44%,100.00%,Plan too small to be measured,90.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H8050,Carilion Clinic Medicare Health Plan,"CARILION CLINIC MEDICARE RESOURCES, LLC",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H8105,Bravo Health,"BRAVO HEALTH INSURANCE COMPANY, INC.",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H8130,Molina Healthcare of Florida,"MOLINA HEALTHCARE OF FLORIDA, INC.",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H8189,Advantage by Managed Health Services,"MANAGED HEALTH SERVICES, WISCONSIN",Not measured,Not measured,Not measured,0.00%,0.00%,88.10%,,Not measured,0.00%,84.00%,Plan too small to be measured,78.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H8393,Coventry Health and Life Insurance Company,COVENTRY HEALTH AND LIFE INSURANCE CO. (NEBRASKA),Not measured,Not measured,36.36%,0.77%,2.21%,96.30%,,0.00%,3.88%,100.00%,Plan too small to be measured,94.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H8468,Geisinger Gold,GEISINGER INDEMNITY INSURANCE COMPANY,,,,,,,,,,,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H8558,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H8578,"Health New England, Inc.","HEALTH NEW ENGLAND, INC.",100.00%,Not measured,Not measured,1.45%,0.00%,92.75%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H8604,Health Plan SecureChoice,THP INSURANCE COMPANY,Not measured,Not measured,86.11%,0.00%,2.17%,96.65%,,0.00%,0.00%,100.00%,Plan too small to be measured,94.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H8644,Humana Insurance Company,HUMANA INSURANCE COMPANY,60.00%,100.00%,85.17%,2.51%,0.80%,89.83%,,0.00%,0.90%,100.00%,78.20%,78.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H8649,Altius Advantra,"ALTIUS HEALTH PLANS, INC. (UTAH)",50.00%,100.00%,35.77%,0.00%,1.94%,91.46%,,0.00%,2.41%,100.00%,78.44%,90.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H8684,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H8707,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,Not measured,80.38%,2.56%,0.79%,90.74%,,3.86%,1.51%,100.00%,Plan too small to be measured,79.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H8742,Universal American,"ABRI HEALTH PLAN, INC",Not measured,Not measured,52.93%,0.72%,1.07%,87.30%,,0.93%,0.95%,100.00%,Plan reported a Biased Rate,88.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H8748,AARP MedicareComplete from SecureHorizons,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,85.85%,2.56%,1.88%,0.00%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H8778,Essence Healthcare,"ESSENCE HEALTHCARE, INC.",Not measured,100.00%,49.73%,1.67%,1.86%,100.00%,,0.00%,2.13%,100.00%,97.50%,91.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H8822,"ADVANTAGE Health Solutions, Inc.","ADVANTAGE HEALTH SOLUTIONS, INC.",Not measured,Not measured,87.88%,18.71%,2.09%,91.18%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H8953,"Humana Health Plan of Ohio, Inc.","HUMANA HEALTH PLAN OF OHIO, INC.",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H8980,HealthAmerica Advantra,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Not measured,Not measured,58.82%,0.72%,2.17%,95.71%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H8991,AMERIGROUP Community Care,"AMERIGROUP FLORIDA, INC.",Not measured,Not measured,91.48%,0.88%,0.00%,92.31%,,2.59%,0.21%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H9001,Fallon Community Health Plan,FALLON COMMUNITY HEALTH PLAN,Not measured,Not measured,63.50%,0.00%,0.59%,93.88%,,0.14%,1.39%,100.00%,Plan reported a Biased Rate,94.00%,86.67%,53.16%,95.87%,,,,,,,,,,
H9003,Kaiser Permanente,KAISER FOUNDATION HP OF THE N W,0.00%,Not measured,68.42%,2.50%,0.00%,93.48%,,0.10%,0.81%,100.00%,80.77%,93.00%,79.49%,70.28%,90.00%,,,,,,,,,,
H9005,HealthPartners Classic Plan,"HEALTHPARTNERS, INC.",Not measured,Not measured,55.56%,0.83%,0.83%,98.72%,,0.00%,0.46%,100.00%,88.07%,89.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H9011,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF FLORIDA, INC.",66.67%,Not measured,79.35%,1.94%,1.88%,96.08%,,0.87%,2.09%,100.00%,70.16%,88.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H9047,Providence Health Plan,PROVIDENCE HEALTH PLAN,100.00%,100.00%,95.31%,0.00%,0.00%,96.77%,,0.44%,1.96%,95.00%,86.87%,94.00%,87.18%,58.85%,91.18%,,,,,,,,,,
H9082,"Molina Healthcare of New Mexico, Inc.","MOLINA HEALTHCARE OF NEW MEXICO, INC.",Not measured,Not measured,85.90%,3.57%,1.75%,96.55%,,0.00%,4.47%,100.00%,Plan too small to be measured,84.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H9101,"Elderplan, Inc.","ELDERPLAN, INC.  - SHMO",Not measured,Not measured,94.83%,2.31%,0.83%,93.90%,,0.36%,1.23%,100.00%,80.30%,91.00%,50.00%,51.22%,85.11%,,,,,,,,,,
H9103,Kaiser Permanente,KAISER FOUNDATION HP OF THE N W,Not measured,Not measured,Not measured,2.50%,0.00%,93.48%,,0.24%,0.74%,100.00%,80.77%,93.00%,Not enough data available to calculate measure,73.53%,94.12%,,,,,,,,,,
H9104,SCAN Health Plan,SCAN HEALTH PLAN,100.00%,87.50%,86.13%,0.72%,0.00%,95.88%,,0.31%,1.27%,100.00%,84.17%,93.00%,43.82%,47.70%,77.87%,,,,,,,,,,
H9149,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,Not measured,3.10%,1.87%,94.12%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H9184,Bravo Health,"BRAVO HEALTH MID-ATLANTIC, INC.",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H9302,Puget Sound Health Partners,"PUGET SOUND HEALTH PARTNERS, INC.",Not measured,Not measured,69.44%,0.00%,0.00%,97.59%,,0.41%,0.98%,100.00%,86.25%,91.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H9313,Advantage Plans from Medical Mutual of Ohio,MEDICAL MUTUAL OF OHIO,Not measured,Not measured,76.21%,0.72%,2.17%,92.68%,,0.84%,0.26%,100.00%,76.61%,87.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H9385,SCAN Health Plan Arizona,SCAN HEALTH PLAN OF ARIZONA,Not measured,Not measured,86.94%,3.60%,0.00%,97.59%,,1.01%,0.59%,100.00%,Plan too small to be measured,89.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H9452,Anthem Blue Cross and Blue Shield,"ROCKY MOUNTAIN HOSPITAL AND MEDICAL SERVICES, INC.",Not measured,Not measured,Not measured,2.70%,4.89%,Not measured,,0.00%,2.84%,100.00%,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H9503,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,Not measured,87.00%,2.22%,0.86%,86.49%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H9519,Independent Health,INDEPENDENT HEALTH BENEFITS CORPORATION,Not measured,Not measured,63.64%,0.72%,0.00%,96.43%,,0.00%,0.88%,100.00%,Plan too small to be measured,90.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H9572,Blue Cross Blue Shield of Michigan,BLUE CROSS BLUE SHIELD OF MICHIGAN,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H9615,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.",Not measured,Not measured,84.07%,0.00%,2.17%,96.63%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H9670,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC.",Not measured,Not measured,Not measured,0.77%,0.00%,93.33%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H9720,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","AMERICA'S 1ST CHOICE HEALTH PLANS, INC.",Not measured,Not measured,60.70%,0.00%,0.00%,98.18%,,0.00%,0.00%,95.00%,Plan too small to be measured,88.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H9779,"Guardian Healthcare, Inc.","GUARDIAN HEALTHCARE, INC.",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H9793,Highmark Inc.,"HIGHMARK, INC.",Not measured,Not measured,92.41%,1.56%,2.17%,98.88%,,0.37%,0.90%,95.00%,70.70%,90.00%,63.89%,Not enough data available to calculate measure,83.33%,,,,,,,,,,
H9847,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,100.00%,100.00%,58.36%,0.77%,2.17%,91.03%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H9859,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.",100.00%,100.00%,94.76%,0.00%,2.17%,96.63%,,0.38%,0.74%,95.00%,62.14%,90.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H9988,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
R3175,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,100.00%,Not measured,83.93%,1.18%,1.40%,94.66%,,1.24%,2.29%,100.00%,88.56%,90.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
R3332,BlueMedicare Regional PPO,"BLUE CROSS AND BLUE SHIELD OF FL, INC.",Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
R3444,Care Improvement Plus,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,Not measured,Not measured,80.87%,1.68%,2.08%,97.62%,,0.60%,2.50%,100.00%,87.00%,88.00%,24.71%,47.17%,80.87%,,,,,,,,,,
R5287,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,100.00%,50.00%,86.42%,1.94%,1.88%,96.08%,,0.54%,1.57%,100.00%,70.16%,88.00%,51.73%,41.96%,78.57%,,,,,,,,,,
R5342,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,Not measured,100.00%,82.79%,1.77%,1.88%,94.08%,,0.72%,1.29%,100.00%,70.16%,90.00%,58.10%,45.61%,81.63%,,,,,,,,,,
R5566,MedicareBlue PPO,BLUE CROSS BLUE SHIELD NORTHERN PLAINS ALLIANCE,100.00%,100.00%,Not measured,0.00%,0.00%,94.05%,,0.52%,1.88%,100.00%,86.58%,88.00%,60.56%,56.73%,75.83%,,,,,,,,,,
R5674,"Sierra Health and Life Insurance Company, Inc.","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.",100.00%,100.00%,92.86%,0.83%,0.00%,90.00%,,2.22%,0.00%,100.00%,74.80%,84.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
R5826,Humana Insurance Company,HUMANA INSURANCE COMPANY,90.76%,94.55%,81.71%,2.51%,0.80%,94.37%,,0.95%,1.55%,100.00%,78.20%,88.00%,51.57%,44.85%,71.10%,,,,,,,,,,
R5941,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",66.67%,100.00%,Not measured,0.00%,5.71%,Not measured,,1.17%,1.35%,100.00%,75.04%,Not enough data available to calculate measure,62.07%,46.00%,55.88%,,,,,,,,,,
