2012 Measure Data: Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,,,Drug Plan Customer Service,,,,,"Member Complaints, Problems Getting Care, and Choosing to Leave the Plan",,,Member Experience with Drug Plan,,,Drug pricing and patient safety,,,,,
H5471,Local CCP,"SIMPLY HEALTHCARE PLANS, INC.","Simply Healthcare Plans, Inc.","Simply Healthcare Holdings, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5475,Local CCP,"HEALTH PLAN OF MICHIGAN, INC.",Health Plan of Michigan Gold Plan,"Caidan Enterprises, Inc.",0:36,No data available,No data available,No appeals required review,65.79,Not enough data available to calculate measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H5507,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:02,77.4,0.0,Not enough data available to calculate measure,96.27,0.60,60,22%,86%,84%,93%,98.3,21.6%,80.9%,75.3%,75.3%,70.8%
H5508,Local CCP,"ADVANTAGE HEALTH SOLUTIONS, INC.","ADVANTAGE Health Solutions, Inc.",Advantage Health Solutions,0:22,89.9,0.0,No appeals required review,96.10,0.31,80,7%,91%,86%,93%,98.3,22.8%,83.8%,75.2%,74.4%,71.2%
H5509,Local CCP,COVENTRY HEALTH AND LIFE INS. COMPANY,COVENTRY HEALTH CARE,Coventry Health Care Inc.,0:18,84.9,1.5,Not enough data available to calculate measure,92.98,0.45,40,37%,75%,80%,89%,98.7,18.7%,84.1%,72.8%,70.9%,68.5%
H5516,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.0,No appeals required review,97.49,0.13,60,17%,87%,85%,95%,97.7,23.7%,81.7%,75.2%,75.0%,65.5%
H5520,Local CCP,HEALTH NET LIFE INSURANCE COMPANY,Health Net Life Insurance Company,"Health Net, Inc.",No data available,No data available,3.8,75.0%,37.61,0.17,0,9%,82%,83%,93%,98.8,17.0%,84.3%,75.6%,75.3%,73.5%
H5521,Local CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,No data available,No data available,34.3,70.8%,Not enough data available to calculate measure,0.13,0,1%,No data available,No data available,No data available,98.2,9.5%,82.4%,75.9%,76.9%,72.3%
H5522,Local CCP,"HEALTHASSURANCE PENNSYLVANIA, INC.",HealthAmerica,Coventry Health Care Inc.,0:19,84.9,0.0,Not enough data available to calculate measure,93.85,0.30,40,18%,80%,83%,92%,98.7,15.3%,80.0%,77.0%,74.9%,73.5%
H5525,Local CCP,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana Benefit Plan of Illinois, Inc.",Humana Inc.,0:31,84.1,1.9,Not enough data available to calculate measure,83.27,0.41,80,14%,82%,85%,90%,96.2,21.3%,83.8%,81.3%,79.1%,75.9%
H5526,Local CCP,HEALTHNOW NEW YORK INC.,BlueCross BlueShield of WNY or BlueShield of NENY,HealthNow New York Inc.,0:19,69.7,0.0,Not enough data available to calculate measure,95.82,0.17,80,12%,88%,85%,92%,98.5,18.1%,80.8%,80.6%,80.2%,75.8%
H5528,Local CCP,GROUP HEALTH INCORPORATED,EmblemHealth Medicare PPO,"EmblemHealth, Inc.",0:27,85.2,2.5,Not enough data available to calculate measure,89.69,1.20,13,23%,No data available,79%,90%,97.9,13.9%,85.0%,69.9%,71.9%,64.3%
H5529,Local CCP,COMMUNITY INSURANCE COMPANY,Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:57,69.1,9.7,Not enough data available to calculate measure,85.20,0.49,60,8%,79%,81%,90%,96.1,19.4%,79.7%,72.6%,73.7%,69.7%
H5530,Local CCP,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:57,69.1,5.8,Not enough data available to calculate measure,84.23,0.57,60,14%,81%,82%,91%,96.6,22.7%,81.2%,68.3%,69.4%,65.9%
H5532,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.0,No appeals required review,97.61,1.14,60,23%,83%,83%,91%,98.1,20.9%,79.7%,63.7%,72.4%,67.7%
H5533,Local CCP,UPMC HEALTH NETWORK,UPMC Health Plan,University of Pittsburgh Medical Center,0:36,92.9,0.0,No appeals required review,97.44,0.45,80,6%,79%,84%,93%,98.9,16.7%,81.8%,71.8%,74.8%,76.6%
H5549,Local CCP,VNS CHOICE,VNSNY CHOICE Medicare,Visiting Nurse Service of New York,0:41,83.1,2.1,Not enough data available to calculate measure,97.61,0.40,80,28%,No data available,82%,89%,95.5,14.8%,87.4%,67.6%,64.8%,60.1%
H5575,Local CCP,FIDELIS SECURECARE OF NORTH CAROLINA,Fidelis SecureCare of North Carolina,Fidelis SecureCare,0:47,No data available,Not enough data available to calculate measure,No appeals required review,100.00,Not enough data available to calculate measure,100,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,26.9%,78.5%,74.5%,90.4%,85.0%
H5576,Local CCP,"VANTAGE  HEALTH PLAN, INC.","Vantage Health Plan, Inc.","Vantage Health Plan, Inc.",3:08,70.6,0.0,No appeals required review,84.03,0.38,80,5%,91%,90%,93%,97.5,32.8%,82.4%,71.9%,70.5%,66.5%
H5577,Local CCP,MCS ADVANTAGE INC.,MCS Classicare,"Medical Card System, Inc.",0:33,No data available,2.4,Not enough data available to calculate measure,83.08,0.21,60,25%,No data available,94%,90%,97.4,42.8%,87.9%,61.3%,60.4%,42.5%
H5578,Local CCP,"ARCADIAN HEALTH PLAN OF GEORGIA, INC.",Southeast Community Care,Arcadian Management Services Inc.,No data available,No data available,0.0,Not enough data available to calculate measure,91.76,0.15,0,22%,77%,81%,89%,98.2,28.7%,86.4%,61.6%,58.9%,50.7%
H5580,Local CCP,SOUTHWEST CATHOLIC HEALTH NETWORK CORPORATION,Mercy Care Advantage,Southwest Catholic Health Network,1:02,No data available,17.6,33.3%,97.89,0.12,80,6%,80%,86%,91%,97.3,30.6%,86.1%,68.4%,67.7%,66.1%
H5587,Local CCP,"HEALTH CHOICE ARIZONA, INC.",Health Choice Generations HMO SNP,IASIS Healthcare,0:09,No data available,0.0,Not enough data available to calculate measure,97.69,0.15,80,11%,82%,83%,89%,97.6,27.4%,86.0%,70.9%,66.0%,65.9%
H5590,Local CCP,BRIDGEWAY HEALTH SOLUTIONS,Advantage by Bridgeway Health Solutions HMO SNP,Centene Corporation,0:19,No data available,0.0,Not enough data available to calculate measure,86.77,0.09,60,5%,No data available,83%,89%,Not enough data available to calculate measure,30.0%,80.4%,79.7%,74.6%,75.4%
H5591,Local CCP,"MARTIN'S POINT GENERATIONS, LLC",Martin's Point Generations Advantage,"Martin's Point Health Care, Inc.",0:34,86.7,0.0,Not enough data available to calculate measure,92.85,0.15,100,3%,84%,86%,93%,99.4,12.6%,81.3%,80.6%,80.4%,77.8%
H5594,Local CCP,"OPTIMUM HEALTHCARE, INC.","Optimum HealthCare, Inc.","America's 1st Choice Holdings of Florida, LLC",0:13,88.8,0.0,No appeals required review,97.57,0.21,60,18%,83%,89%,93%,96.8,22.6%,80.1%,76.5%,74.8%,72.9%
H5608,Local CCP,"DENVER HEALTH MEDICAL PLAN, INC.",Denver Health Medical Plan,Denver Health Hospital Authority,0:35,13.0,3.4,No appeals required review,95.14,0.38,60,7%,76%,79%,88%,105.1,20.3%,91.9%,61.6%,67.2%,63.9%
H5609,Local CCP,GEMCARE HEALTH PLAN INC.,GEMCARE Health Plan,Golden Empire Managed Care,0:20,83.5,3.0,Not enough data available to calculate measure,94.49,0.21,100,3%,82%,88%,94%,97.2,27.9%,84.3%,69.1%,70.1%,65.8%
H5619,Local CCP,"ARCADIAN HEALTH PLAN, INC.",Northeast Community Care,Arcadian Management Services Inc.,No data available,No data available,1.6,Not enough data available to calculate measure,95.10,0.03,0,10%,87%,85%,91%,98.3,15.0%,83.0%,80.7%,80.3%,79.1%
H5628,Local CCP,"MOLINA HEALTHCARE OF UTAH, INC.",Molina Healthcare of Utah,"Molina Healthcare, Inc.,",0:47,81.3,0.0,0.0%,96.38,0.24,49,28%,76%,84%,88%,99.1,20.4%,86.5%,72.0%,70.0%,69.7%
H5640,Local CCP,IEHP HEALTH ACCESS,IEHP Medicare DualChoice,INLAND EMPIRE HEALTH PLAN,0:59,No data available,0.0,No appeals required review,99.51,0.04,80,9%,89%,90%,90%,98.1,22.9%,90.2%,64.1%,63.2%,58.4%
H5649,Local CCP,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",Central Health Medicare Plan,Central Health Plan of California,0:20,86.8,0.0,No appeals required review,91.44,0.14,80,12%,75%,83%,86%,97.6,20.8%,86.2%,71.8%,67.2%,59.7%
H5652,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,Erickson Advantage,"UnitedHealth Group, Inc.",1:00,77.5,0.0,No appeals required review,74.02,0.07,60,1%,86%,84%,93%,Not enough data available to calculate measure,14.6%,80.1%,86.6%,84.9%,80.7%
H5656,Local CCP,"SELECTCARE HEALTH PLANS, INC.",Universal American Corp.,Universal American Corp.,No data available,No data available,1.5,Not enough data available to calculate measure,96.69,0.57,0,30%,78%,85%,91%,97.9,25.6%,88.9%,63.1%,63.4%,59.3%
H5665,Local CCP,"CARE IMPROVEMENT PLUS  OF MARYLAND, INC.",Care Improvement Plus,XLHealth Corporation,0:19,No data available,0.0,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,80,Not enough data available to calculate measure,No data available,No data available,No data available,97.8,13.8%,84.9%,64.9%,62.3%,54.4%
H5679,Local CCP,"HMO COLORADO, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:58,69.1,Not enough data available to calculate measure,No appeals required review,86.57,1.84,60,Not enough data available to calculate measure,No data available,No data available,No data available,96.2,16.1%,81.1%,71.3%,67.2%,67.6%
H5685,Local CCP,"MIDWEST HEALTH PLAN, INC.",Midwest Advantage,"Midwest Health Plan, Inc.",0:35,No data available,Not enough data available to calculate measure,No appeals required review,62.50,Not enough data available to calculate measure,80,Not enough data available to calculate measure,No data available,No data available,No data available,97.8,41.8%,91.9%,65.1%,62.9%,59.4%
H5696,Local CCP,"PHYSICIANS UNITED PLAN, INC.",PUP,"IDJB Investments, LLC",0:55,85.2,0.0,Not enough data available to calculate measure,94.29,0.53,80,29%,85%,85%,91%,98.9,23.6%,85.3%,71.2%,69.3%,66.0%
H5698,Local CCP,"WINDSOR HEALTH PLAN, INC.",Windsor Medicare Extra,Munich American Holding Corporation,0:44,82.7,2.3,Not enough data available to calculate measure,97.02,0.44,7,15%,82%,83%,89%,97.7,30.4%,84.3%,63.3%,59.9%,57.6%
H5700,Local CCP,"ARKANSAS COMMUNITY CARE, INC.",Arcadian Health Plan,Arcadian Management Services Inc.,No data available,No data available,0.0,No appeals required review,95.77,0.21,0,16%,82%,84%,91%,98.7,26.6%,82.4%,65.6%,65.3%,60.2%
H5703,Local CCP,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,South Country Health Alliance,0:38,No data available,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,100,Not enough data available to calculate measure,No data available,85%,90%,98.4,Not enough data available to calculate measure,80.7%,89.1%,87.2%,88.8%
H5732,Local CCP,"TRIPLE-S SALUD, INC.","Triple-S Salud, INC.",Triple-S Management Corporation,1:42,59.0,0.0,No appeals required review,42.18,0.42,60,11%,78%,84%,89%,98.4,21.6%,84.8%,64.0%,66.8%,46.3%
H5746,Local CCP,"AMERIGROUP NEW MEXICO, INC.",Amerigroup Community Care of New Mexico,AMERIGROUP Corporation,0:35,61.6,0.0,No appeals required review,98.27,0.65,100,12%,74%,84%,89%,98.2,27.3%,86.5%,63.2%,69.6%,63.3%
H5749,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:02,77.4,0.0,Not enough data available to calculate measure,97.68,0.65,40,15%,88%,84%,92%,98.4,21.1%,85.4%,74.5%,72.0%,66.5%
H5750,Local CCP,METROPOLITAN HEALTH PLAN,Cornerstone Solutions,Metropolitan Health Plan,0:34,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,80,Not enough data available to calculate measure,No data available,No data available,No data available,98.7,6.9%,90.7%,81.9%,60.4%,56.3%
H5774,Local CCP,"AMERICAN HEALTH, INC.",American Health Medicare,Triple-S Management Corporation,0:16,69.9,0.0,Not enough data available to calculate measure,85.46,0.26,80,23%,79%,89%,87%,97.3,41.2%,88.4%,57.4%,57.2%,41.3%
H5782,Local CCP,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,Partnership HealthPlan of California,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,0:20,No data available,0.0,No appeals required review,84.04,0.05,80,5%,80%,89%,91%,97.7,19.4%,88.0%,78.3%,72.4%,71.5%
H5783,Local CCP,"ARCADIAN HEALTH PLAN, INC.",Southeast Community Care,Arcadian Management Services Inc.,No data available,No data available,1.5,Not enough data available to calculate measure,95.76,0.47,0,17%,84%,84%,90%,98.3,26.5%,85.4%,64.7%,61.5%,56.3%
H5793,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,No data available,No data available,21.7,Not enough data available to calculate measure,Not enough data available to calculate measure,0.53,0,31%,83%,81%,90%,98.3,7.9%,84.8%,75.3%,75.9%,70.8%
H5810,Local CCP,MOLINA HEALTHCARE OF CALIFORNIA,Molina Healthcare of California,"Molina Healthcare, Inc.,",0:46,81.3,0.0,Not enough data available to calculate measure,96.61,0.41,49,23%,80%,81%,83%,100.1,15.1%,88.1%,60.6%,62.9%,57.8%
H5811,Local CCP,SCAN HEALTH PLAN,SCAN Health Plan,SCAN Health Plan,0:31,77.3,0.0,Not enough data available to calculate measure,94.28,0.33,60,17%,81%,84%,90%,96.7,21.7%,87.6%,70.0%,70.4%,67.4%
H5813,Local CCP,"AETNA HEALTH, INC",Aetna Medicare,Aetna Inc.,No data available,No data available,35.6,Not enough data available to calculate measure,Not enough data available to calculate measure,0.27,0,12%,83%,80%,90%,99.3,10.6%,84.5%,66.6%,71.3%,65.7%
H5817,Local CCP,"AMERIGROUP TEXAS, INC.",Amerigroup Community Care,AMERIGROUP Corporation,0:34,61.6,11.7,66.7%,98.43,0.55,80,15%,83%,86%,88%,97.9,29.3%,86.9%,61.8%,61.0%,54.6%
H5820,PFFS,UNIVERSAL HEALTH CARE INSURANCE COMPANY,"UNIVERSAL HEALTH CARE INSURANCE COMPANY, INC.","Universal Health Care Group, Inc.",0:17,25.9,0.0,61.5%,21.82,0.90,60,52%,87%,82%,91%,99.1,20.6%,82.5%,66.9%,65.2%,61.8%
H5821,Local CCP,MAPFRE LIFE INSURANCE COMPANY,MAPFRE LIFE INSURANCE COMPANY,MAPFRE PRAICO CORPORATION,0:44,61.2,0.0,No appeals required review,83.19,1.18,80,27%,77%,85%,85%,97.6,32.2%,89.1%,53.0%,49.4%,29.4%
H5823,Local CCP,"MOLINA HEALTHCARE OF WASHINGTON, INC.","Molina Healthcare of Washington, Inc.","Molina Healthcare, Inc.,",0:46,81.3,0.0,40.0%,93.48,0.35,49,11%,71%,80%,85%,98.3,22.6%,86.0%,80.6%,70.1%,74.7%
H5826,Local CCP,COMMUNITY HEALTH PLAN OF WASHINGTON,Community HealthFirst Medicare Advantage Plan,Community Health Plan of Washington,0:31,14.5,2.2,Not enough data available to calculate measure,10.84,0.76,80,8%,89%,85%,92%,95.3,18.9%,87.2%,70.9%,68.7%,67.8%
H5832,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,No data available,No data available,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,0,Not enough data available to calculate measure,No data available,No data available,No data available,98.8,10.9%,85.8%,76.7%,69.8%,68.9%
H5850,Local CCP,"COVENTRY SUMMIT HEALTH PLAN, INC.",Coventry Summit Health Plan,Coventry Health Care Inc.,0:23,84.9,2.9,60.0%,96.27,0.39,0,30%,79%,86%,90%,98.8,24.0%,85.1%,71.0%,69.2%,63.1%
H5852,Local CCP,AIDS HEALTHCARE FOUNDATION,Positive Healthcare Partners,AIDS Healthcare Foundation,0:23,No data available,Not enough data available to calculate measure,No appeals required review,81.48,Not enough data available to calculate measure,80,Not enough data available to calculate measure,85%,89%,89%,96.2,25.4%,89.5%,81.7%,76.5%,82.0%
H5854,Local CCP,"ANTHEM HEALTH PLANS, INC",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:57,69.1,13.6,No appeals required review,89.01,1.04,60,17%,79%,82%,91%,96.2,11.8%,80.6%,75.3%,75.8%,67.5%
H5859,Local CCP,"HEALTH PLAN OF CAREOREGON, INC.",CareOregon Advantage,"CareOregon, Inc.",0:49,86.0,1.6,Not enough data available to calculate measure,89.05,0.12,80,4%,75%,82%,86%,96.8,17.0%,82.7%,79.5%,76.2%,75.9%
H5868,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:31,84.1,0.0,Not enough data available to calculate measure,81.18,0.51,100,10%,82%,85%,91%,96.2,15.1%,84.4%,80.9%,82.0%,79.6%
H5883,Local CCP,BLUE CARE NETWORK OF MICHIGAN,Blue Care Network,Blue Cross Blue Shield of Michigan,0:19,78.8,8.2,50.0%,76.38,0.33,37,5%,82%,85%,93%,98.0,16.3%,82.8%,79.9%,80.7%,77.6%
H5884,PFFS,BLUECROSS BLUESHIELD OF TENNESSEE,BlueCross BlueShield of Tennessee,BlueCross BlueShield of Tennessee,0:35,63.1,1.0,Not enough data available to calculate measure,92.72,2.25,100,8%,81%,82%,92%,98.1,29.6%,82.5%,74.1%,73.4%,67.0%
H5887,Local CCP,"FIRST MEDICAL HEALTH PLAN, INC.","First Medical Health Plan, Inc.","First Medical Health Plan, Inc.",1:50,45.6,0.0,No appeals required review,96.40,0.57,40,37%,78%,86%,86%,100.2,34.6%,88.4%,47.4%,52.0%,32.4%
H5896,Local CCP,"AMERIGROUP MARYLAND, INC.",Amerigroup Community Care,AMERIGROUP Corporation,0:32,No data available,28.9,No appeals required review,96.73,0.84,100,5%,77%,82%,89%,97.9,14.9%,88.0%,63.2%,61.9%,54.8%
H5926,Local CCP,MOLINA HEALTHCARE OF MICHIGAN,Molina Healthcare of Michigan,"Molina Healthcare, Inc.,",0:45,81.3,0.0,Not enough data available to calculate measure,97.61,0.25,49,13%,76%,85%,88%,99.4,32.3%,85.2%,69.3%,67.2%,66.0%
H5928,Local CCP,CARE1ST HEALTH PLAN,Care1st Medicare Advantage Plan,Care1st Health Plan,0:26,76.1,0.0,Not enough data available to calculate measure,56.95,0.29,100,22%,79%,85%,88%,97.5,18.3%,88.0%,65.8%,64.2%,59.5%
H5932,Local CCP,"GATEWAY HEALTH PLAN, INC.",Gateway Health Plan Medicare Assured,Gateway Health Plan,0:21,No data available,0.0,Not enough data available to calculate measure,93.40,0.11,80,4%,80%,85%,89%,94.9,14.1%,83.8%,74.2%,72.7%,71.4%
H5938,Local CCP,CAPITAL HEALTH PLAN,Capital Health Plan,Blue Cross and Blue Shield of Florida,0:35,96.5,4.9,No appeals required review,93.71,0.06,100,1%,90%,91%,97%,97.7,26.4%,87.7%,66.1%,70.9%,66.6%
H5943,Local CCP,SCAN HEALTH PLAN,VillageHealth,SCAN Health Plan,0:31,No data available,Not enough data available to calculate measure,No appeals required review,79.73,Not enough data available to calculate measure,80,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,42.1%,73.4%,69.1%,62.2%,68.8%
H5950,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,No data available,No data available,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,0,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,100.0%,71.4%,47.8%
H5969,Local CCP,ALOHACARE,AlohaCare,AlohaCare,0:14,78.1,0.0,No appeals required review,95.71,0.24,100,16%,80%,86%,90%,98.4,14.4%,86.8%,64.2%,64.3%,56.6%
H5970,Local CCP,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,0:34,84.1,Not enough data available to calculate measure,No appeals required review,76.22,0.79,100,Not enough data available to calculate measure,87%,84%,90%,96.2,15.2%,85.5%,78.4%,75.3%,73.7%
H5980,Local CCP,"FIDELIS SECURECARE OF TEXAS, INC.","Fidelis SecureCare of Texas, Inc.",Fidelis SecureCare,0:48,No data available,Not enough data available to calculate measure,No appeals required review,97.33,Not enough data available to calculate measure,100,Not enough data available to calculate measure,No data available,No data available,No data available,91.0,28.0%,84.3%,100.0%,79.7%,80.7%
H5985,Local CCP,ABRAZO ADVANTAGE HEALTH PLAN,Abrazo Advantage Health Plan,Vanguard Health Systems,0:48,85.7,0.0,Not enough data available to calculate measure,71.31,0.12,80,13%,78%,85%,90%,98.8,27.0%,87.2%,61.1%,59.9%,60.9%
H5989,Local CCP,COMPREHENSIVE CARE MANAGEMENT CORP.,Comprehensive Care Management Corp.,Bethco Corporation,0:32,78.7,Not enough data available to calculate measure,No appeals required review,100.00,Not enough data available to calculate measure,80,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,8.3%,73.1%,91.8%,80.7%,70.8%
H5991,Local CCP,"AFFINITY HEALTH PLAN, INC.",Affinity Health Plan,Affinity Health Plan,0:36,No data available,0.0,Not enough data available to calculate measure,97.95,0.28,80,18%,No data available,84%,88%,100.5,13.1%,90.3%,70.9%,67.7%,56.0%
H5992,Local CCP,"SENIOR WHOLE HEALTH OF NEW YORK, INC.",Senior Whole Health of New York,"Senior Whole Health, LLC",0:44,No data available,Not enough data available to calculate measure,No appeals required review,39.58,Not enough data available to calculate measure,80,Not enough data available to calculate measure,86%,88%,91%,99.3,22.5%,85.8%,76.0%,76.8%,74.7%
H5995,Local CCP,"MARION POLK COMMUNITY HEALTH PLAN ADVANTAGE, INC.","Marion Polk Community Health Plan Advantage, Inc.","Marion Polk Community Health Plan, LLC",0:38,No data available,0.0,No appeals required review,94.77,0.05,80,3%,No data available,86%,92%,96.6,26.4%,80.2%,79.1%,76.9%,77.3%
H6169,PFFS,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,Universal American Corp.,No data available,No data available,No data available,No appeals required review,6.38,0.85,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H6178,Local CCP,CARESOURCE,CareSource,CareSource,0:32,No data available,Not enough data available to calculate measure,No appeals required review,85.02,0.57,80,17%,75%,82%,No data available,97.7,24.7%,85.9%,64.6%,55.7%,55.6%
H6181,Local CCP,"AMERIGROUP NEW YORK, LLC",Amerigroup Community Care,AMERIGROUP Corporation,0:32,61.6,Not enough data available to calculate measure,Not enough data available to calculate measure,97.20,0.36,80,26%,No data available,No data available,No data available,97.9,15.3%,90.0%,65.1%,63.1%,56.7%
H6264,Local CCP,"HEALTHPLUS PHSP, INC.",Health Plus Elite,Lutheran Medical Center,1:30,49.3,11.8,No appeals required review,98.19,0.82,80,28%,No data available,No data available,No data available,97.6,11.2%,93.5%,67.3%,64.3%,54.0%
H6328,Local CCP,"CARE N' CARE INSURANCE COMPANY, INC.",Care N' Care Health Plan,North Texas Specialty Physicians,0:44,76.5,0.0,No appeals required review,88.60,0.51,100,9%,88%,88%,93%,98.1,24.3%,82.6%,70.0%,74.7%,72.3%
H6360,1876 Cost,KAISER FOUNDATION HP OF OHIO,Kaiser Permanente Medicare Plus,"Kaiser Foundation Health Plan, Inc.",Not required to report,Not required to report,2.4,Not enough data available to calculate measure,87.61,0.18,80,2%,86%,88%,92%,98.1,11.9%,85.3%,76.9%,81.3%,77.0%
H6411,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:29,84.5,3.7,Not enough data available to calculate measure,78.63,0.60,80,17%,83%,85%,89%,96.5,20.6%,89.0%,71.3%,72.4%,67.4%
H6528,Local CCP,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,Care Improvement Plus,XLHealth Corporation,0:18,71.9,Not enough data available to calculate measure,No appeals required review,84.56,1.16,80,Not enough data available to calculate measure,No data available,No data available,No data available,99.2,23.6%,74.1%,49.2%,56.2%,52.7%
H6609,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:31,84.0,0.9,33.3%,77.35,0.47,100,13%,82%,83%,91%,96.7,14.8%,86.3%,81.4%,80.2%,77.2%
H6622,Local CCP,HUMANA WISCONSINHEALTH ORGANIZATION INSURANCE CORP,Humana WisconsinHealth Organization Insurance Corp,Humana Inc.,0:31,84.1,No data available,No appeals required review,75.38,0.60,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H6642,Local CCP,"UNIVERSAL HMO OF TEXAS, INC.","Universal HMO of Texas, Inc.","Universal Health Care Group, Inc.",0:18,25.9,Not enough data available to calculate measure,No appeals required review,29.61,1.43,80,Not enough data available to calculate measure,No data available,No data available,No data available,97.6,20.3%,83.6%,64.8%,63.8%,64.8%
H6705,Local CCP,"UNIVERSAL HEALTH CARE OF NEVADA, INC.","Universal Health Care of Nevada, Inc.","Universal Health Care Group, Inc.",0:16,25.9,No data available,No appeals required review,33.52,Not enough data available to calculate measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H6743,Local CCP,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Health Plans,0:46,45.5,No data available,No appeals required review,97.18,0.25,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H6801,Local CCP,"AHS - TULSA OKLAHOMA HEALTH PLAN, INC",Lovelace Medicare Plan,Ardent Health Services.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6815,Local CCP,HEALTH NET HEALTH PLAN OF OREGON,"Health Net Health Plan of Oregon, Inc.","Health Net, Inc.",No data available,No data available,No data available,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H6864,Local CCP,"GUILDNET, INC.",GuildNet,Jewish Guild for the Blind,1:30,No data available,Not enough data available to calculate measure,No appeals required review,100.00,Not enough data available to calculate measure,80,Not enough data available to calculate measure,No data available,No data available,No data available,97.1,17.4%,84.1%,85.3%,72.6%,64.3%
H6881,Local CCP,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",America's 1st Choice Insurance Company of NC,"America¿s 1st Choice Insurance Company of NC, Inc.",0:13,91.7,No data available,No appeals required review,98.61,Not enough data available to calculate measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
