2014 Star View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,DD1: Drug Plan Customer Service,,,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",,,,DD3: Member Experience with the Drug Plan,,DD4: Patient Safety and Accuracy of Drug Pricing,,,,,
H1523,Demo,"UNITED HEALTHCARE OF NEW YORK, INC","UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1537,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,"UnitedHealth Group, Inc.",3,Not enough data available,Not enough data available,Not enough data available,4,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H1595,Local CCP,HealthPlus,HEALTHPLUS INSURANCE COMPANY,HealthPlus of Michigan,3,5,No data available,1,5,4,3,4,5,4,3,5,5,5,5
H1607,Local CCP,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.","WellPoint, Inc.",4,4,No data available,4,2,5,5,1,2,3,3,1,5,5,5
H1608,Local CCP,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Aetna Inc.,3,5,Not enough data available,3,4,5,5,4,4,4,4,3,5,5,5
H1609,Local CCP,Coventry Health Care,"COVENTRY HEALTH CARE OF IOWA, INC.",Aetna Inc.,3,5,No data available,2,4,3,3,4,4,4,4,2,5,5,5
H1659,Local CCP,Piedmont Medicare Advantage,"PIEDMONT COMMUNITY HEALTHCARE, INC.",Piedmont Community Health Plan,1,1,Not enough data available,1,5,5,3,4,4,4,5,5,5,5,5
H1660,Local CCP,"Harvard Pilgrim Health Care, Inc.",HARVARD PILGRIM HEALTH CARE INC.,"Harvard Pilgrim Health Care, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1666,Local CCP,Blue Cross Blue Shield of Texas,HCSC INSURANCE SERVICES COMPANY,Health Care Service Corporation,5,Plan too new to be measured,Not enough data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1681,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,3,No data available,3,5,1,3,3,3,4,5,3,4,4,3
H1692,Local CCP,Coventry Health Care of West Virginia,"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC.",Aetna Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1716,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,2,Not enough data available,2,5,2,3,4,2,4,5,4,5,5,4
H1717,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,5,No data available,Not enough data available,1,5,3,No data available,No data available,4,2,1,3,4,2
H1723,Demo,"Absolute Total Care, Inc.","ABSOLUTE TOTAL CARE, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1737,Local CCP,Health Alliance Medicare,"HEALTH ALLIANCE - MIDWEST, INC.",Health Alliance Medical Plans,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1777,Local CCP,"ArchCare Advantage, HMO SNP","CATHOLIC SPECIAL NEEDS PLAN, LLC",Catholic Health Care System,2,1,Not enough data available,1,4,5,4,No data available,No data available,3,4,1,5,4,5
H1846,Local CCP,MediGold,MOUNT CARMEL HEALTH INSURANCE COMPANY,Trinity Health,4,Not enough data available,No data available,3,5,Not enough data available,5,4,4,4,4,5,5,4,3
H1849,Local CCP,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.","WellPoint, Inc.",4,5,Not enough data available,3,2,2,4,4,4,3,2,1,3,4,4
H1894,Local CCP,AMERIGROUP,"AMERIGROUP WASHINGTON, INC.","WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1903,Local CCP,WellCare,"WELLCARE OF LOUISIANA, INC.","WellCare Health Plans, Inc.",5,5,No data available,2,4,2,3,5,4,4,3,2,1,1,1
H1906,PFFS,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.",Humana Inc.,5,5,No data available,3,5,5,3,5,4,4,5,1,4,4,4
H1916,Demo,Fidelis Care,"THE NEW YORK STATE CATHOLIC HEALTH PLAN, INC.","The New York State Catholic Health Plan, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1944,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",3,5,5,1,1,3,3,1,4,4,5,3,4,5,4
H1951,Local CCP,"Humana Health Benefit Plan of Louisiana, Inc.","HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.",Humana Inc.,5,2,5,3,5,5,3,4,2,4,5,4,3,4,3
H1961,Local CCP,Peoples Health,"PEOPLES HEALTH, INC.","PH Holdings, LLC",3,5,1,4,5,5,3,4,4,4,3,3,3,3,3
H1977,Demo,Upper Peninsula Health Plan,"UPPER PENINSULA HEALTH PLAN, LLC",Marquette General Hospital,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1994,Local CCP,SelectHealth,"SELECTHEALTH, INC.","Intermountain Health Care, Inc.",1,Plan too new to be measured,3,3,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1997,Local CCP,Regence BlueShield,REGENCE BLUESHIELD,"Cambia Health Solutions, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2001,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",3,5,No data available,4,1,4,3,2,5,4,4,3,5,5,5
H2005,Demo,Fallon Total Care,"FALLON TOTAL CARE, LLC",Fallon Community Health Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2012,Local CCP,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,5,1,5,2,5,3,4,4,4,4,5,5,4,4,4
H2029,Local CCP,"Humana Insurance of Puerto Rico, Inc.","HUMANA INSURANCE OF PUERTO RICO, INC.",Humana Inc.,3,2,No data available,2,5,1,5,1,No data available,4,5,5,1,1,1
H2034,Local CCP,Community Care,"COMMUNITY CARE HEALTH PLAN, INC.","Community Care, Inc.",3,Not enough data available,No data available,Not enough data available,4,Not enough data available,Not enough data available,No data available,No data available,3,1,1,Not enough data available,5,5
H2108,Local CCP,Cigna-HealthSpring,"BRAVO HEALTH MID-ATLANTIC, INC.",CIGNA,2,4,No data available,1,4,3,5,2,3,4,5,4,2,2,2
H2111,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,5,No data available,4,1,5,3,2,No data available,4,2,1,5,4,3
H2112,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,5,5,Not enough data available,1,1,5,3,2,2,4,5,4,4,4,4
H2150,1876 Cost,Kaiser Permanente,KAISER FNDN HP OF THE MID-ATLANTIC STS,"Kaiser Foundation Health Plan, Inc.",Plan not required to report measure,No data available,No data available,3,5,5,4,5,5,5,5,5,5,5,5
H2161,Local CCP,Upper Peninsula Health Plan,"UPPER PENINSULA HEALTH PLAN, LLC",Marquette General Hospital,5,Not enough data available,2,Not enough data available,4,Not enough data available,Not enough data available,No data available,No data available,4,4,1,3,5,5
H2165,Local CCP,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,1,1,No data available,1,4,3,3,4,5,4,3,4,3,2,2
H2174,Local CCP,Trillium Advantage,TRILLIUM COMMUNITY HEALTH PLAN,"Agate Resources,  Inc.",1,1,5,5,5,5,3,4,4,3,2,2,5,5,5
H2224,Local CCP,Senior Whole Health,"SENIOR WHOLE HEALTH, LLC","SWH Holdings, Inc.",1,5,Not enough data available,5,3,5,5,5,4,3,2,2,5,5,5
H2225,Local CCP,"Commonwealth Care Alliance, Inc.","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",3,1,Not enough data available,5,4,5,3,5,4,4,4,3,5,5,5
H2226,Local CCP,UnitedHealthcare Community Plan,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,4,Not enough data available,4,1,5,3,4,3,4,3,2,5,4,4
H2228,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,5,No data available,5,1,4,5,No data available,No data available,4,3,1,5,5,5
H2230,Local CCP,Blue Cross Blue Shield of Massachusetts,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross and Blue Shield of Massachusetts, Inc.",3,4,Not enough data available,3,5,5,4,2,4,3,4,2,5,5,5
H2237,Local CCP,iCare,"INDEPENDENT CARE HEALTH PLAN, INC.",Independent Care Health Plan Inc.,5,5,No data available,5,5,5,4,2,2,4,3,5,3,2,3
H2241,Local CCP,Golden State Medicare Health Plan,GOLDEN STATE MEDICARE HEALTH PLAN,Golden State Medicare Health Plan,3,Not enough data available,No data available,3,4,Not enough data available,Not enough data available,5,5,4,3,3,5,4,5
H2256,Local CCP,Tufts Health Plan or Tufts Medicare Preferred,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,"Tufts Associated HMO, Inc.",3,2,3,4,4,5,5,4,5,4,5,2,5,5,5
H2261,Local CCP,Blue Cross Blue Shield of Massachusetts,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross and Blue Shield of Massachusetts, Inc.",3,5,Not enough data available,5,5,5,4,2,5,3,4,1,5,5,5
H2312,Local CCP,HAP Senior Plus,HEALTH ALLIANCE PLAN OF MICHIGAN,Henry Ford Health System,1,1,Not enough data available,4,1,5,5,4,4,4,4,4,5,5,5
H2320,Local CCP,Priority Health Medicare,PRIORITY HEALTH,Spectrum Health System,1,1,2,5,4,5,4,4,4,4,5,3,5,5,5
H2322,Local CCP,Alliance Medicare PPO,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Henry Ford Health System,1,2,No data available,3,1,5,3,4,4,4,3,2,5,5,5
H2323,Local CCP,Fidelis SecureCare Of Michigan,FIDELIS SECURECARE OF MICHIGAN,"Fidelis SeniorCare, Inc.",1,5,No data available,Not enough data available,4,1,3,No data available,No data available,4,2,1,5,5,5
H2335,Demo,"Amerigroup Virginia, LLC",AMERIGROUP VIRGINIA LLC,"Inova Health Systems, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2354,Local CCP,HealthPlus of Michigan,HEALTHPLUS OF MICHIGAN,HealthPlus of Michigan,3,5,No data available,5,4,5,4,4,4,4,3,2,5,5,5
H2406,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",2,5,No data available,5,1,5,3,No data available,No data available,4,1,1,5,5,5
H2411,Local CCP,Fallon Senior Plan,FALLON COMMUNITY HEALTH PLAN,Fallon Community Health Plan,No data available,Not enough data available,No data available,Not enough data available,5,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,2,Not enough data available,Not enough data available,5,5
H2416,Local CCP,PrimeWest Health,PRIMEWEST CTRL COUNTY-BASED PURCHASING INITIATIVE,PrimeWest Central County-Based Purchasing Initiati,5,1,Not enough data available,5,5,5,3,4,5,4,2,1,5,5,5
H2417,Local CCP,Itasca Medical Care/IMCare Classic,ITASCA MEDICAL CARE,Itasca County Health & Human Services,4,Not enough data available,No data available,Not enough data available,4,Not enough data available,Not enough data available,No data available,No data available,4,3,2,5,5,5
H2419,Local CCP,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,1,1,No data available,5,4,5,3,5,4,4,3,1,5,5,5
H2422,Local CCP,HealthPartners,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",4,5,No data available,5,4,5,3,4,3,4,3,1,5,4,5
H2425,Local CCP,Blue Plus,BLUE PLUS,Blue Cross and Blue Shield of Minnesota,3,2,Not enough data available,5,5,5,3,4,4,4,3,1,5,5,5
H2450,1876 Cost,Medica Insurance Company,MEDICA INSURANCE COMPANY,Medica Holding Company,Plan not required to report measure,No data available,1,5,5,5,3,4,4,4,3,2,5,5,5
H2456,Local CCP,UCare,UCARE MINNESOTA,UCare Minnesota,2,5,4,5,4,5,5,4,4,4,4,1,5,4,5
H2457,Local CCP,MHP,METROPOLITAN HEALTH PLAN,Metropolitan Health Plan,1,Not enough data available,No data available,Not enough data available,4,Not enough data available,Not enough data available,4,3,3,4,2,4,5,5
H2458,Local CCP,Medica Health Plans,MEDICA HEALTH PLANS,Medica Holding Company,4,2,Not enough data available,5,5,5,3,4,4,4,2,1,5,5,5
H2459,Local CCP,UCare,UCARE MINNESOTA,UCare Minnesota,3,4,5,5,5,5,5,4,5,4,5,2,5,5,5
H2462,1876 Cost,HealthPartners,"GROUP HEALTH PLAN, INC. (MN)","HealthPartners, Inc.",Plan not required to report measure,No data available,Not enough data available,5,4,5,4,5,5,4,4,1,5,5,5
H2486,Local CCP,"Humana Medical Plan of Utah, Inc.","HUMANA MEDICAL PLAN OF UTAH, INC.",Humana Inc.,5,1,No data available,1,5,1,1,4,2,4,5,5,5,4,4
H2491,Local CCP,'Ohana Health Plan,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","WellCare Health Plans, Inc.",5,1,Not enough data available,3,4,4,3,2,2,4,4,5,1,2,2
H2506,Demo,Aetna Better Health Premier Plan,"AETNA BETTER HEALTH, INC. (IL)",Aetna Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2531,Demo,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE COMMUNITY PLAN OF OHIO, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2533,Demo,Community Health Solutions,"COMMUNITY HEALTH SOLUTIONS OF AMERICA, INC.","Community Health Solutions of America, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2542,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,5,Not enough data available,2,5,3,4,4,2,4,5,4,4,4,3
H2563,Local CCP,Optima Health Plan,OPTIMA HEALTH PLAN,Sentara Health Care (SHC),Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
