2011 Data View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,Drug Plan Customer Service,,,,,,,Drug Plan Member Complaints and Medicare Audit Findings,,,Member Experience with Drug Plan,,,Drug Pricing and Patient Safety,,,,,
H5628,Molina Healthcare of Utah,"MOLINA HEALTHCARE OF UTAH, INC.",0:26,0:27,57.3%,76.4,0.0,No appeals required review,88.2%,0.80,0.37,No data available,78.2%,83.2%,88.1%,99.9%,96.7,28.3%,88.4%,,
H5640,IEHP Medicare DualChoice HMO,IEHP HEALTH ACCESS,0:34,0:35,84.7%,85.4,0.0,No appeals required review,Not enough data available to calculate measure,0.10,0.00,No data available,83.6%,85.7%,87.7%,99.9%,98.9,23.3%,90.9%,,
H5649,Central Health Medicare Plan,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",0:08,0:34,73.3%,86.1,0.0,No appeals required review,10.0%,0.09,0.12,No data available,76.4%,84.5%,85.9%,99.9%,97.6,19.4%,85.8%,,
H5652,Erickson Advantage,UNITEDHEALTHCARE INSURANCE COMPANY,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,0.0,No appeals required review,87.5%,0.16,0.16,No data available,87.7%,83.7%,92.6%,100.0%,Not enough data available to calculate measure,15.4%,79.6%,,
H5656,Universal American,"SELECTCARE HEALTH PLANS, INC.",0:27,0:27,69.0%,67.4,2.1,Not enough data available to calculate measure,78.7%,0.67,0.67,No data available,78.4%,80.2%,87.6%,99.4%,96.7,25.4%,89.7%,,
H5665,Care Improvement Plus,"CARE IMPROVEMENT PLUS  OF MARYLAND, INC.",0:37,0:39,69.4%,73.6,0.0,No appeals required review,Not enough data available to calculate measure,1.14,1.33,8,72.8%,77.3%,85.5%,98.8%,Not enough data available to calculate measure,12.8%,85.6%,,
H5679,Anthem Blue Cross and Blue Shield,"HMO COLORADO, INC.",0:32,0:45,57.5%,43.1,Not enough data available to calculate measure,No appeals required review,100.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.6%,Not enough data available to calculate measure,13.8%,85.3%,,
H5685,Midwest Advantage,"MIDWEST HEALTH PLAN, INC.",0:25,1:06,64.9%,59.7,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.6%,93.8,45.6%,92.8%,,
H5696,PUP,"PHYSICIANS UNITED PLAN, INC.",1:26,0:32,76.6%,77.8,0.6,No appeals required review,82.5%,0.31,0.44,100,83.7%,80.8%,90.7%,98.5%,97.4,22.6%,84.1%,,
H5698,Windsor Medicare Extra,"WINDSOR HEALTH PLAN, INC.",0:23,0:22,67.9%,81.8,4.8,30.0%,81.3%,0.31,0.36,9,76.3%,80.7%,87.3%,96.4%,96.2,32.3%,84.3%,,
H5700,"Arkansas Community Care, Inc.","ARKANSAS COMMUNITY CARE, INC.",0:47,1:07,74.4%,54.2,0.0,No appeals required review,73.6%,0.39,0.20,No data available,90.6%,84.3%,93.3%,99.6%,99,27.9%,81.7%,,
H5703,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,0:21,0:12,86.7%,76.4,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,81.6%,84.6%,89.3%,99.4%,100.2,Not enough data available to calculate measure,86.5%,,
H5732,"Triple-S Salud, INC.","TRIPLE-S SALUD, INC.",0:52,2:58,58.7%,40.3,0.0,No appeals required review,16.7%,0.00,0.36,No data available,70.2%,80.1%,83.8%,Not enough data available to calculate measure,98.2,22.1%,86.8%,,
H5746,AMERIGROUP Community Care of New Mexico,"AMERIGROUP NEW MEXICO, INC.",0:32,0:58,68.6%,81.3,45.7,No appeals required review,Not enough data available to calculate measure,0.57,0.57,17,64.3%,76.6%,82.8%,99.8%,99.2,24.6%,88.9%,,
H5749,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:36,0:35,61.2%,72.0,0.0,No appeals required review,89.5%,0.27,0.40,No data available,72.4%,80.0%,89.7%,99.9%,96.8,14.8%,86.9%,,
H5750,North Star Advantage / North Star Advantage Plus,METROPOLITAN HEALTH PLAN,1:05,0:56,80.2%,86.0,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.1%,97.5,15.9%,83.8%,,
H5774,American Health Medicare,"AMERICAN HEALTH, INC.",1:00,0:16,70.9%,21.0,0.0,Not enough data available to calculate measure,0.0%,0.16,0.15,40,82.2%,90.0%,86.5%,Not enough data available to calculate measure,98.5,39.8%,88.1%,,
H5782,Partnership HealthPlan of California,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,0:19,0:20,73.9%,63.1,0.0,No appeals required review,0.0%,0.13,0.07,No data available,74.7%,84.1%,88.9%,99.9%,95.7,20.7%,88.3%,,
H5783,Southeast Community Care,"ARCADIAN HEALTH PLAN, INC.",0:45,1:05,74.4%,54.2,0.0,No appeals required review,72.0%,0.41,0.44,No data available,74.6%,80.6%,85.5%,99.6%,99.1,26.8%,84.1%,,
H5793,Aetna Medicare,AETNA HEALTH INC.,0:34,0:30,64.0%,50.7,5.2,50.0%,93.8%,0.55,0.18,No data available,79.6%,76.6%,87.2%,99.3%,97.2,7.2%,87.8%,,
H5810,Molina Healthcare of California,MOLINA HEALTHCARE OF CALIFORNIA,0:20,0:23,57.1%,76.2,5.9,No appeals required review,86.0%,0.32,0.63,No data available,75.1%,82.3%,84.4%,99.7%,97,16.8%,90.1%,,
H5811,SCAN Health Plan,SCAN HEALTH PLAN,0:35,1:36,83.7%,83.9,0.0,No appeals required review,76.2%,0.32,0.42,No data available,79.7%,81.8%,88.4%,99.9%,90.9,26.3%,86.3%,,
H5813,Aetna Medicare,"AETNA HEALTH, INC",0:34,0:30,64.0%,50.7,0.0,40.0%,89.5%,0.96,0.79,No data available,81.5%,79.3%,88.0%,99.7%,97.8,8.0%,89.4%,,
H5817,AMERIGROUP Community Care,"AMERIGROUP TEXAS, INC.",0:29,0:56,68.6%,81.3,17.9,Not enough data available to calculate measure,77.8%,0.18,0.25,17,81.5%,84.0%,86.4%,99.9%,97.8,30.6%,87.7%,,
H5820,"UNIVERSAL HEALTH CARE INSURANCE COMPANY, INC.",UNIVERSAL HEALTH CARE INSURANCE COMPANY,0:50,1:21,65.5%,63.9,0.3,37.5%,31.8%,0.78,0.60,No data available,79.8%,79.7%,87.8%,98.5%,Not enough data available to calculate measure,21.5%,84.0%,,
H5821,MAPFRE LIFE INSURANCE COMPANY,MAPFRE LIFE INSURANCE COMPANY,0:35,1:02,62.1%,25.0,0.0,Not enough data available to calculate measure,28.8%,0.54,0.12,No data available,82.3%,83.5%,85.8%,Not enough data available to calculate measure,96.2,33.3%,89.5%,,
H5823,"Molina Healthcare of Washington, Inc.","MOLINA HEALTHCARE OF WASHINGTON, INC.",0:19,0:23,57.1%,76.2,0.0,No appeals required review,64.3%,0.35,0.71,No data available,71.5%,80.1%,87.1%,99.5%,97.1,20.1%,85.9%,,
H5826,Community HealthFirst Medicare Advantage Plan,COMMUNITY HEALTH PLAN OF WASHINGTON,2:29,1:36,82.5%,25.2,0.0,Not enough data available to calculate measure,14.4%,0.75,0.43,No data available,81.6%,79.9%,87.1%,78.2%,97.8,17.0%,89.2%,,
H5832,Aetna Medicare,AETNA HEALTH INC.,0:35,0:31,64.0%,50.7,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.3%,98.9,10.8%,85.5%,,
H5850,Coventry Summit Health Plan,"COVENTRY SUMMIT HEALTH PLAN, INC.",0:25,0:28,69.2%,74.3,0.5,Not enough data available to calculate measure,87.4%,0.57,0.50,No data available,78.4%,84.0%,90.7%,94.7%,99,23.7%,85.9%,,
H5852,POSITIVE HEALTHCARE PARTNERS,AIDS HEALTHCARE FOUNDATION,0:21,2:31,81.5%,72.7,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,87.3%,88.1%,90.6%,99.8%,98.1,26.7%,88.9%,,
H5854,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS, INC",0:56,0:53,57.5%,43.1,14.5,Not enough data available to calculate measure,94.2%,0.65,0.36,No data available,79.9%,79.5%,89.5%,99.9%,Not enough data available to calculate measure,11.9%,79.7%,,
H5859,CareOregon Advantage,"HEALTH PLAN OF CAREOREGON, INC.",4:15,1:36,85.4%,68.8,3.7,Not enough data available to calculate measure,25.0%,0.03,0.08,No data available,80.6%,83.3%,89.5%,99.8%,97.6,23.1%,83.4%,,
H5862,Blue Cross of Idaho,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC.",1:18,2:07,75.2%,91.0,0.0,No appeals required review,100.0%,0.38,0.00,No data available,83.7%,80.2%,90.3%,79.6%,96,13.5%,81.7%,,
H5868,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:06,1:09,76.2%,67.9,13.6,No appeals required review,65.9%,0.48,0.18,No data available,83.2%,84.0%,90.9%,99.4%,99.4,15.2%,83.5%,,
H5883,Blue Care Network,BLUE CARE NETWORK OF MICHIGAN,1:41,0:39,72.6%,35.4,11.4,Not enough data available to calculate measure,90.9%,0.22,0.16,No data available,83.7%,83.2%,91.0%,95.8%,96.4,18.2%,83.8%,,
H5884,BlueCross BlueShield of Tennessee,BLUECROSS BLUESHIELD OF TENNESSEE,0:49,0:11,78.4%,86.1,1.4,Not enough data available to calculate measure,94.9%,0.25,0.11,No data available,80.1%,85.1%,92.4%,99.2%,98.7,30.3%,82.5%,,
H5887,"First Medical Health Plan, Inc.","FIRST MEDICAL HEALTH PLAN, INC.",0:37,0:16,72.5%,28.0,0.0,No appeals required review,40.0%,0.32,0.08,31,77.3%,88.0%,86.6%,Not enough data available to calculate measure,97.2,29.2%,90.2%,,
H5895,Contra Costa Health Plan,CONTRA COSTA CO MED SVCS DBA CONTRA COSTA HEALTH,1:41,0:31,80.7%,60.8,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.7%,101.1,20.5%,80.8%,,
H5896,AMERIGROUP Community Care,"AMERIGROUP MARYLAND, INC.",0:27,0:53,68.6%,81.3,0.0,No appeals required review,72.2%,0.39,0.50,17,79.5%,81.2%,85.3%,99.9%,98.2,15.5%,86.9%,,
H5926,Molina Healthcare of Michigan,MOLINA HEALTHCARE OF MICHIGAN,0:22,0:27,57.3%,76.4,0.0,No appeals required review,48.0%,0.24,0.61,No data available,77.7%,83.8%,88.6%,99.3%,96.4,33.6%,86.8%,,
H5928,Care1st Medicare Advantage Plan,CARE1ST HEALTH PLAN,0:35,0:12,74.6%,81.1,0.0,No appeals required review,59.6%,0.12,0.23,No data available,79.1%,81.7%,86.2%,95.6%,96.3,18.5%,88.2%,,
H5932,Gateway Health Plan Medicare Assured,"GATEWAY HEALTH PLAN, INC.",0:24,1:05,74.1%,93.7,0.8,No appeals required review,100.0%,0.10,0.07,No data available,80.5%,82.4%,90.2%,99.9%,94.7,23.7%,84.3%,,
H5938,Capital Health Plan,CAPITAL HEALTH PLAN,0:08,1:00,87.1%,85.4,16.3,Not enough data available to calculate measure,100.0%,0.03,0.07,No data available,89.7%,90.4%,95.5%,98.3%,97.7,28.2%,88.3%,,
H5943,VillageHealth,SCAN HEALTH PLAN,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.6%,Not enough data available to calculate measure,43.9%,70.2%,,
H5948,Arta Medicare Health Plan,"ARTA MEDICARE HEALTH PLAN, INC.",0:42,1:00,85.4%,79.4,Not enough data available to calculate measure,No appeals required review,0.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,92.6%,98,22.4%,88.4%,,
H5950,Aetna Medicare,AETNA HEALTH INC.,0:35,0:31,64.0%,50.7,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,94.4%,99.5,8.3%,91.3%,,
H5969,AlohaCare,ALOHACARE,0:07,0:38,78.1%,82.6,0.0,No appeals required review,80.0%,0.20,0.20,No data available,82.3%,83.2%,90.2%,99.4%,Not enough data available to calculate measure,16.5%,87.4%,,
H5970,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,1:02,1:06,76.2%,67.9,Plan too new to be measured,Not enough data available to calculate measure,46.7%,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.4%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H5980,"Fidelis SecureCare of Texas, Inc.","FIDELIS SECURECARE OF TEXAS, INC.",0:32,0:19,47.9%,68.8,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.7%,95.1,30.3%,77.0%,,
H5985,Abrazo Advantage Health Plan,ABRAZO ADVANTAGE HEALTH PLAN,0:30,1:05,75.5%,30.6,0.0,No appeals required review,0.0%,0.49,0.18,No data available,83.6%,84.3%,88.5%,62.6%,97.7,27.8%,89.4%,,
H5989,Comprehensive Care Management Corp.,COMPREHENSIVE CARE MANAGEMENT CORP.,0:13,0:17,78.1%,90.9,Not enough data available to calculate measure,No appeals required review,0.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,98.3%,Not enough data available to calculate measure,10.1%,70.2%,,
H5991,Affinity Health Plan,"AFFINITY HEALTH PLAN, INC.",0:33,1:15,83.1%,67.1,0.0,No appeals required review,Not enough data available to calculate measure,0.45,0.61,No data available,75.7%,82.9%,85.2%,99.8%,96.9,12.0%,91.1%,,
H5992,Senior Whole Health of New York,"SENIOR WHOLE HEALTH, LLC",0:52,1:15,65.3%,65.3,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,86.2%,85.6%,89.2%,98.6%,98.6,21.9%,86.5%,,
H5995,"Marion Polk Community Health Plan Advantage, Inc.","MARION POLK COMMUNITY HEALTH PLAN ADVANTAGE, INC.",0:19,0:59,89.2%,95.8,0.0,Not enough data available to calculate measure,Not enough data available to calculate measure,0.00,0.04,No data available,77.4%,82.5%,89.0%,66.2%,96,27.8%,82.9%,,
H5998,Unison Advantage,"UNISON HEALTH PLAN OF TENNESSEE, INC.",0:25,0:39,40.6%,63.1,7.0,Not enough data available to calculate measure,17.6%,0.26,0.57,No data available,67.1%,81.2%,86.1%,99.4%,97.9,27.4%,83.9%,,
H6169,Universal American,THE PYRAMID LIFE INSURANCE COMPANY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H6178,CareSource,CARESOURCE,0:45,0:40,76.0%,84.0,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,42.0%,96.3,21.9%,90.9%,,
H6181,AMERIGROUP Community Care,"AMERIGROUP NEW YORK, LLC",0:27,0:53,68.6%,81.3,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,34,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.7%,97.5,16.0%,91.8%,,
H6264,Health Plus Elite,"HEALTHPLUS PHSP, INC.",1:09,1:09,65.9%,20.1,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,96.0%,100.1,11.1%,90.3%,,
H6328,Care N' Care Health Plan,"CARE N' CARE INSURANCE COMPANY, INC.",0:21,0:26,79.4%,62.2,0.0,No appeals required review,0.0%,0.10,0.93,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.7%,95.8,28.6%,89.3%,,
H6411,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:09,1:10,76.2%,67.9,0.0,Not enough data available to calculate measure,61.1%,0.67,0.49,No data available,78.6%,82.8%,87.2%,99.9%,98.5,23.4%,87.8%,,
H6528,Care Improvement Plus,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,0:36,0:41,69.4%,73.6,Not enough data available to calculate measure,No appeals required review,0.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,8,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,94.1%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,
H6609,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:09,1:10,76.2%,67.9,Plan too new to be measured,Not enough data available to calculate measure,71.3%,0.73,0.51,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.3%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H6622,Humana Wisconsin Health Organization Insurance Cor,HUMANA WISCONSINHEALTH ORGANIZATION INSURANCE CORP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H6642,"Universal HMO of Texas, Inc.","UNIVERSAL HMO OF TEXAS, INC.",0:51,1:18,65.5%,63.9,Plan too new to be measured,Not enough data available to calculate measure,87.5%,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,92.6%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H6705,"Universal Health Care of Nevada, Inc.","UNIVERSAL HEALTH CARE OF NEVADA, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H6743,ATRIO MyAdvantage,ATRIO HEALTH PLANS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H6815,Health Net Medicare Advantage,HEALTH NET HEALTH PLAN OF OREGON,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H6864,GuildNet,"GUILDNET, INC.",0:20,1:02,55.0%,52.1,Not enough data available to calculate measure,No appeals required review,100.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,89.9%,97.1,21.3%,87.9%,,
H6881,America's 1st Choice Insurance Company of NC,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H6900,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:02,1:06,76.2%,67.9,11.0,No appeals required review,68.0%,0.47,0.23,No data available,84.5%,82.0%,89.2%,99.9%,98.1,14.4%,78.4%,,
H6923,Aetna Medicare,AETNA HEALTH,0:37,0:30,64.0%,50.7,0.0,Not enough data available to calculate measure,100.0%,0.14,0.57,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.6%,98.4,11.6%,92.2%,,
H6952,Great Lakes Personal Care Plus,"GREAT LAKES HEALTH PLAN, INC.",0:35,0:29,40.6%,63.1,0.0,No appeals required review,Not enough data available to calculate measure,0.48,0.96,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,85.2%,96.5,32.6%,82.6%,,
H7002,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:06,1:09,76.2%,67.9,0.0,No appeals required review,82.4%,0.54,0.90,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.8%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,,
H7006,"Marion Polk Community Health Plan Advantage, Inc.","MARION POLK COMMUNITY HEALTH PLAN ADVANTAGE, INC.",0:19,0:59,89.2%,95.8,Plan too new to be measured,No appeals required review,0.0%,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,69.8%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H7015,Healthfirst NJ Medicare Plan,"HEALTHFIRST HEALTH PLAN OF NEW JERSEY, INC.",0:12,1:15,66.3%,76.2,0.0,No appeals required review,71.4%,0.28,0.56,No data available,70.3%,77.8%,81.7%,78.2%,96.8,20.7%,91.7%,,
H7086,Community Health Group,COMMUNITY HEALTH GROUP,0:11,0:12,70.0%,85.3,0.0,No appeals required review,Not enough data available to calculate measure,0.00,0.00,No data available,81.1%,84.9%,90.0%,99.1%,98.7,20.4%,94.1%,,
H7149,Coventry Health Care,"COVENTRY HEALTH CARE OF NEBRASKA, INC.",0:30,0:41,69.2%,74.3,0.0,Not enough data available to calculate measure,95.9%,0.28,0.21,No data available,83.0%,80.5%,90.2%,99.0%,Not enough data available to calculate measure,18.5%,79.2%,,
H7173,Advantage by Peach State,"PEACH STATE HEALTH PLAN, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H7179,Arcadian Community Care,"ARCADIAN HEALTH PLAN OF LOUISIANA, INC.",0:47,1:07,74.4%,54.2,0.0,No appeals required review,81.1%,0.49,0.75,No data available,78.5%,81.2%,86.6%,99.7%,98.7,26.7%,88.7%,,
H7187,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:35,0:38,64.8%,70.7,0.0,No appeals required review,100.0%,0.61,0.48,No data available,78.9%,80.9%,86.2%,99.5%,97.5,18.6%,83.9%,,
H7188,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:06,1:09,76.2%,67.9,3.8,Not enough data available to calculate measure,60.4%,0.36,0.39,No data available,82.7%,84.9%,92.7%,99.9%,98.3,24.9%,85.3%,,
H7200,AMERIGROUP Community Care,"AMERIGROUP TENNESSEE, INC.",0:29,0:56,68.6%,81.3,11.2,Not enough data available to calculate measure,Not enough data available to calculate measure,0.43,0.29,17,78.7%,85.8%,89.2%,100.0%,98.6,27.6%,80.9%,,
H7220,"Clarian Health Plans, Inc. - Clarian Medicare","CLARIAN HEALTH PLANS, INC.",0:28,0:33,65.1%,72.9,0.0,Not enough data available to calculate measure,31.8%,0.10,0.17,No data available,83.5%,85.7%,92.3%,97.4%,97.6,20.8%,85.8%,,
H7281,Bravo Health,"BRAVO HEALTH PENNSYLVANIA, INC.",0:23,0:39,65.0%,66.0,Plan too new to be measured,Not enough data available to calculate measure,84.2%,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.5%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H7292,Alameda Alliance for Health,ALAMEDA ALLIANCE JOINT POWERS AUTHORITY (JPA),0:24,0:20,72.2%,75.0,7.9,Not enough data available to calculate measure,Not enough data available to calculate measure,0.17,0.00,No data available,76.2%,84.6%,87.9%,98.3%,98.9,19.1%,87.0%,,
H7301,PersonalCare,PERSONAL CARE INSURANCE OF ILLINOIS,0:30,0:41,69.2%,74.3,0.0,Not enough data available to calculate measure,98.8%,0.15,0.15,No data available,82.7%,80.4%,90.2%,99.1%,Not enough data available to calculate measure,19.0%,83.9%,,
H7306,Coventry Health Care,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,0:28,0:41,69.2%,74.3,0.0,No appeals required review,86.8%,0.70,0.52,No data available,74.2%,75.0%,84.4%,98.6%,Not enough data available to calculate measure,23.9%,82.4%,,
H7341,"Guardian Healthcare, Inc.","GUARDIAN HEALTHCARE, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H7352,University Physicians/Maricopa Care Advantage,UPH/MIHS VENTURES L.L.C.,0:19,1:30,75.4%,67.4,0.0,Not enough data available to calculate measure,Not enough data available to calculate measure,0.00,0.21,No data available,78.2%,81.8%,84.7%,61.0%,100.2,24.0%,88.5%,,
H7475,"Care Wisconsin Health Plan, Inc.","CARE WISCONSIN HEALTH PLAN, INC.",1:04,0:01,62.7%,77.6,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,98.3%,100.5,24.8%,65.9%,,
