Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary  Hold Time - DMC09,Call Center – Information Accuracy - DMC10,Pneumonia Vaccine - DMC11,Access to Primary Care Doctor Visits - DMC12,Grievances - DMC13,Special Needs Plan (SNP) Care Management - DMC14,Calls Disconnected When Customer Calls Health Plan - DMC15,Timely Receipt of Case Files - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Call Center – Information Accuracy - DMD05,Drug-Drug Interactions - DMD06,Diabetes Medication Dosing - DMD07,Completeness of the Drug Plan's Information on Members Who Need Extra Help - DMD08,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD09,MPF - Stability - DMD10,Grievance Rate - DMD11,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD12,Atypical Antipsychotic Rate - DMD13
H0901,"AETNA HEALTH, INC. (PA)",Aetna Inc.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:22,90%,Not enough data available,Plan too small to be measured,Not enough data available,Plan not required to report measure,0.77%,No data available,No data available,0.77%,0:22,83.60%,5.2%,0.0%,99.60%,100%,99,No data available,No Data Available,No data available
H0908,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:24,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,44.5%,1.67%,No data available,No data available,1.67%,0:24,Plan not required to report measure,6.1%,0.0%,97.10%,92%,No Data Available,No data available,No data available,No data available
H0913,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.","WellCare Health Plans, Inc.",Local CCP,Not enough data available,85%,Not enough data available,Not enough data available,90%,54%,40%,90%,0:34,81%,41%,88%,2.41,57.6%,2.92%,No data available,No data available,2.92%,0:34,76.87%,3.0%,1.0%,99.70%,100%,99,2.41,7.3%,No Data Available
H0979,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America's 1st Choice Holdings of N.C., LLC",PFFS,Not enough data available,96%,Not enough data available,Not enough data available,93%,77%,Not enough data available,92%,0:08,89%,72%,96%,0.09,Plan not required to report measure,0.63%,No data available,No data available,0.63%,0:08,84.48%,5.9%,1.3%,100.00%,100%,99,0.09,4.2%,No Data Available
H1013,"COVENTRY HEALTH PLAN OF FLORIDA, INC",Coventry Health Care Inc.,Local CCP,44%,79%,58%,92%,95%,71%,37%,90%,0:28,87%,49%,94%,2.31,51.1%,0.83%,No data available,No data available,0.50%,0:10,89.30%,7.3%,0.6%,98.90%,100%,99,2.31,3.4%,No Data Available
H1016,"AVMED, INC","AvMed, Inc.",Local CCP,48%,65%,46%,84%,95%,83%,46%,92%,1:12,86%,61%,97%,4.85,Plan not required to report measure,0.00%,100.00%,100.00%,0.00%,1:12,85.81%,7.5%,0.9%,99.80%,96%,99,4.85,17.2%,33.33%
H1019,"CAREPLUS HEALTH PLANS, INC.",Humana Inc.,Local CCP,48%,98%,44%,90%,94%,72%,61%,91%,0:11,92%,59%,97%,6.28,Data issues found,0.00%,100.00%,No data available,0.00%,0:11,90.96%,6.2%,0.9%,99.80%,100%,100,6.28,No data available,36.00%
H1026,"HEALTH OPTIONS, INC",Blue Cross and Blue Shield of Florida,Local CCP,0 - Plan reported a Biased Rate,63%,46%,76%,95%,83%,49%,92%,1:11,86%,64%,93%,5.62,Plan not required to report measure,0.83%,100.00%,100.00%,0.83%,1:11,70.23%,5.8%,0.6%,99.70%,100%,99,5.62,5.6%,12.50%
H1032,"WELL CARE OF FLORIDA, INC.","WellCare Health Plans, Inc.",Local CCP,55%,87%,42%,86%,94%,72%,35%,87%,0:34,81%,63%,95%,2.93,50.1%,1.95%,No data available,100.00%,1.95%,0:34,76.87%,6.2%,0.6%,99.70%,100%,99,2.93,7.0%,5.00%
H1035,"FLORIDA HEALTH CARE PLAN, INC.",Blue Cross and Blue Shield of Florida,Local CCP,70%,99%,52%,86%,95%,86%,63%,92%,0:08,88%,83%,98%,2.15,Plan not required to report measure,0.00%,100.00%,No data available,0.00%,0:08,77.71%,10.1%,1.6%,97.50%,84%,99,2.15,79.7%,No Data Available
H1036,"HUMANA MEDICAL PLAN, INC.",Humana Inc.,Local CCP,44%,98%,46%,91%,97%,71%,56%,89%,0:41,89%,66%,97%,1.87,Data issues found,0.38%,94.12%,100.00%,0.38%,0:41,87.13%,6.0%,1.1%,99.90%,100%,100,1.87,8.9%,24.03%
H1045,PREFERRED CARE PARTNERS INC.,"UnitedHealth Group, Inc.",Local CCP,53%,92%,54%,88%,95%,79%,39%,93%,0:37,91%,51%,97%,0.86,90.9%,1.00%,75.00%,No data available,1.00%,0:37,76.30%,7.5%,1.1%,100.00%,96%,98,0.86,20.3%,No Data Available
H1076,"COVENTRY HEALTH CARE OF FLORIDA, INC",Coventry Health Care Inc.,Local CCP,30%,79%,58%,Not enough data available,93%,72%,35%,90%,0:28,87%,45%,89%,3.45,57.2%,0.83%,No data available,No data available,0.50%,0:10,89.30%,6.3%,1.1%,99.20%,100%,99,3.45,No Data Available,No data available
H1080,"UNITEDHEALTHCARE OF FLORIDA, INC.","UnitedHealth Group, Inc.",Local CCP,49%,86%,53%,87%,93%,81%,35%,90%,0:22,86%,71%,95%,5.12,32.5%,0.13%,100.00%,No data available,0.13%,0:22,74.60%,6.6%,1.7%,99.90%,100%,99,5.12,0.6%,25.81%
H1099,"HEALTH FIRST HEALTH PLANS, INC.",Health First,Local CCP,83%,82%,51%,87%,94%,85%,43%,91%,0:15,90%,77%,98%,2.50,Plan not required to report measure,1.89%,100.00%,50.00%,1.89%,0:15,80.89%,7.0%,1.6%,90.20%,100%,98,2.50,11.0%,27.27%
H1108,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,48%,86%,53%,Not enough data available,95%,52%,30%,89%,0:20,Plan not required to report measure,59%,96%,4.71,66.0%,0.00%,No data available,No data available,0.00%,0:20,Plan not required to report measure,8.6%,0.6%,99.90%,100%,99,4.71,0.2%,28.37%
H1109,AETNA HEALTH INC.(GEORGIA),Aetna Inc.,Local CCP,Not enough data available,93%,Not enough data available,Not enough data available,95%,76%,Not enough data available,91%,0:22,90%,64%,94%,11.11,Plan not required to report measure,0.77%,No data available,No data available,0.77%,0:22,83.60%,6.1%,0.1%,99.90%,100%,99,11.11,25.0%,No Data Available
H1110,AETNA LIFE INSURANCE COMPANY,Aetna Inc.,Local CCP,Not enough data available,93%,Not enough data available,Not enough data available,91%,84%,Not enough data available,91%,0:22,90%,77%,97%,6.37,Plan not required to report measure,0.77%,100.00%,No data available,0.77%,0:22,83.60%,7.3%,0.0%,100.00%,100%,102,6.37,16.2%,No Data Available
H1111,"UNITEDHEALTHCARE OF GEORGIA, INC.","UnitedHealth Group, Inc.",Local CCP,32%,86%,Not enough data available,Not enough data available,91%,69%,24%,89%,0:22,86%,57%,94%,5.27,28.4%,0.13%,No data available,No data available,0.13%,0:22,74.60%,5.5%,1.7%,99.90%,100%,99,5.27,0.0%,28.57%
H1112,"WELLCARE OF GEORGIA, INC.","WellCare Health Plans, Inc.",Local CCP,56%,80%,36%,Not enough data available,93%,54%,41%,89%,0:33,81%,56%,92%,2.73,57.2%,1.25%,No data available,No data available,1.25%,0:33,76.87%,5.3%,0.4%,99.70%,100%,99,2.73,6.9%,No Data Available
H1170,"KAISER FOUNDATION HP OF GA, INC.","Kaiser Foundation Health Plan, Inc.",Local CCP,68%,79%,56%,71%,96%,73%,44%,92%,0:27,88%,85%,96%,1.69,Data issues found,1.67%,No data available,No data available,1.67%,0:27,90.49%,3.4%,0.9%,98.80%,96%,99,1.69,72.0%,15.38%
H1200,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",1876 Cost,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Not enough data available,Plan not required to report measure,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure
H1216,"HARMONY HEALTH PLAN OF ILLINOIS, INC.","WellCare Health Plans, Inc.",Local CCP,48%,89%,Not enough data available,Not enough data available,86%,52%,Not enough data available,Not enough data available,0:36,81%,51%,86%,5.05,37.6%,2.08%,No data available,No data available,2.08%,0:36,76.87%,7.6%,0.4%,99.70%,100%,99,5.05,4.0%,No data available
H1230,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",Local CCP,Not enough data available,97%,60%,90%,95%,78%,90%,93%,0:05,88%,75%,96%,0.73,Plan not required to report measure,0.83%,No data available,No data available,0.83%,0:05,90.49%,2.3%,0.7%,98.70%,96%,98,0.73,60.9%,13.13%
H1251,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),Hawaii Medical Service Association,1876 Cost,Not enough data available,79%,49%,93%,93%,75%,26%,91%,Not enough data available,Not enough data available,79%,96%,Not enough data available,Plan not required to report measure,Not enough data available,No data available,No data available,No data available,No data available,No data available,5.1%,0.5%,99.80%,100%,98,No data available,Data issues found,8.90%
H1264,"WELLCARE OF TEXAS, INC.","WellCare Health Plans, Inc.",Local CCP,42%,85%,35%,Not enough data available,93%,57%,39%,88%,0:22,81%,61%,93%,2.42,47.2%,0.83%,100.00%,No data available,0.83%,0:22,76.87%,4.5%,0.5%,99.50%,100%,99,2.42,5.5%,No Data Available
H1266,HUMANA INSURANCE COMPANY,Humana Inc.,PFFS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1286,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,74%,86%,57%,79%,89%,78%,30%,90%,0:25,86%,71%,94%,4.84,Plan not required to report measure,0.26%,No data available,No data available,0.26%,0:25,74.60%,5.8%,2.2%,99.90%,100%,99,4.84,1.1%,No Data Available
H1291,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Inc.,PFFS,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,93%,0:41,89%,65%,Plan too small to be measured,1.12,Plan not required to report measure,0.38%,No data available,No data available,0.38%,0:41,87.13%,10.0%,2.1%,98.40%,100%,99,1.12,1.2%,No Data Available
H1302,BLUE CROSS OF IDAHO HLTH SERVICES INC,"Blue Cross of Idaho Health Services, Inc.",Local CCP,45%,59%,42%,Not enough data available,85%,70%,Not enough data available,90%,0:24,87%,61%,94%,2.65,Plan not required to report measure,1.00%,No data available,No data available,1.00%,0:24,80.49%,6.7%,1.7%,99.70%,100%,97,2.65,4.3%,No Data Available
H1303,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,63%,86%,60%,Not enough data available,90%,72%,21%,91%,0:24,86%,71%,92%,4.13,47.6%,0.22%,100.00%,No data available,0.22%,0:24,74.60%,6.8%,1.5%,99.90%,100%,99,4.13,0.5%,40.00%
H1304,REGENCE BLUE SHIELD OF IDAHO,"Cambia Health Solutions, Inc.",Local CCP,Not enough data available,76%,52%,Not enough data available,90%,74%,25%,91%,0:21,94%,77%,96%,0.25,Plan not required to report measure,0.00%,No data available,No data available,0.00%,0:21,91.79%,8.6%,1.6%,100.00%,100%,99,0.25,Data issues found,23.68%
H1350,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC","Blue Cross of Idaho Health Services, Inc.",Local CCP,37%,59%,67%,91%,90%,76%,30%,91%,0:24,87%,76%,97%,2.72,80.3%,1.00%,No data available,100.00%,1.00%,0:24,80.49%,8.5%,1.6%,99.60%,100%,97,2.72,3.6%,17.65%
H1355,"BRAVO HEALTH INSURANCE COMPANY, INC.",CIGNA,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:38,83%,Not enough data available,Plan too small to be measured,Not enough data available,Not enough data available,1.44%,No data available,No data available,1.44%,0:38,75.00%,5.3%,0.0%,99.80%,100%,99,No data available,No Data Available,No data available
H1365,"MARTIN'S POINT GENERATIONS, LLC","Martin's Point Health Care, Inc.",Local CCP,Not enough data available,88%,Not enough data available,Not enough data available,92%,86%,Not enough data available,94%,0:15,84%,67%,94%,3.07,Plan not required to report measure,0.00%,No data available,No data available,0.00%,0:15,87.23%,2.8%,1.3%,99.20%,100%,99,3.07,0.0%,No Data Available
H1406,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Local CCP,54%,98%,49%,91%,73%,60%,19%,92%,0:40,89%,65%,93%,1.39,Not enough data available,0.41%,100.00%,No data available,0.41%,0:40,87.13%,5.7%,1.1%,99.90%,100%,100,1.39,9.3%,18.06%
H1415,"HEALTHSPRING OF TENNESSEE, INC.",CIGNA,Local CCP,27%,82%,41%,88%,92%,48%,22%,90%,0:04,84%,52%,91%,6.01,55.8%,0.21%,No data available,No data available,0.21%,0:04,64.01%,5.6%,1.1%,99.70%,100%,99,6.01,18.7%,13.33%
H1416,"HARMONY HEALTH PLAN OF ILLINOIS, INC.","WellCare Health Plans, Inc.",Local CCP,32%,87%,31%,80%,67%,50%,25%,90%,0:35,81%,51%,89%,2.23,36.0%,1.25%,No data available,No data available,1.25%,0:35,76.87%,4.5%,0.7%,99.40%,100%,99,2.23,8.6%,15.38%
H1417,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Local CCP,Not enough data available,43%,75%,Not enough data available,92%,78%,38%,91%,1:46,87%,80%,97%,0.00,Plan not required to report measure,0.00%,No data available,No data available,0.00%,1:46,82.28%,8.3%,1.1%,99.50%,100%,99,0.00,12.9%,23.81%
H1418,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,54%,98%,60%,93%,90%,74%,31%,90%,0:40,89%,67%,96%,1.80,Plan not required to report measure,0.41%,100.00%,No data available,0.41%,0:40,87.13%,7.4%,1.0%,99.90%,100%,99,1.80,7.0%,17.07%
H1419,"AETNA HEALTH,  INC. (PA)",Aetna Inc.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,56%,Plan too small to be measured,Not enough data available,0:22,90%,Not enough data available,Plan too small to be measured,Not enough data available,Plan not required to report measure,0.82%,No data available,No data available,0.82%,0:22,83.60%,7.0%,0.0%,99.90%,100%,100,No data available,No Data Available,No Data Available
H1444,"TOTAL HEALTH CARE, INC.","Total Health Care, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1463,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Local CCP,Not enough data available,43%,60%,Not enough data available,94%,76%,28%,92%,1:46,87%,85%,97%,0.05,Plan not required to report measure,0.00%,No data available,No data available,0.00%,1:46,82.28%,7.4%,1.7%,99.20%,100%,98,0.05,No data available,19.47%
H1468,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.",Humana Inc.,Local CCP,Not enough data available,98%,52%,Not enough data available,94%,67%,19%,91%,0:40,89%,72%,98%,1.41,Plan not required to report measure,0.41%,100.00%,No data available,0.41%,0:40,87.13%,9.1%,0.4%,100.00%,100%,99,1.41,3.1%,28.95%
H1509,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,64%,86%,51%,85%,92%,77%,32%,91%,0:22,86%,74%,97%,5.99,33.8%,0.10%,90.48%,100.00%,0.10%,0:22,74.60%,8.3%,1.4%,99.70%,100%,99,5.99,0.9%,25.59%
H1510,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,60%,98%,57%,92%,87%,76%,34%,91%,0:41,89%,72%,97%,1.37,Plan not required to report measure,0.38%,100.00%,No data available,0.38%,0:41,87.13%,6.9%,1.0%,99.90%,100%,99,1.37,3.5%,27.59%
H1517,"ANTHEM INSURANCE COMPANIES, INC.","WellPoint, Inc.",Local CCP,Not enough data available,87%,Not enough data available,Not enough data available,89%,79%,Not enough data available,92%,0:26,87%,72%,94%,Not enough data available,Plan not required to report measure,3.30%,100.00%,100.00%,3.30%,0:26,62.77%,6.6%,1.0%,99.70%,100%,98,No data available,12.6%,No Data Available
