CY2014 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary Hold Time - DMC09,Call Center – Information Accuracy - DMC10,Pneumonia Vaccine - DMC11,Access to Primary Care Doctor Visits - DMC12,Grievance Rate - DMC13,Special Needs Plan (SNP) Care Management - DMC14,Calls Disconnected When Customer Calls Health Plan  - DMC15,Pharmacotherapy Management of COPD Exacerbation - Systemic Corticosteroid - DMC16,Pharmacotherapy Management of COPD Exacerbation - Bronchodilator - DMC17,Initiation of Alcohol or other Drug Treatment - DMC18,Engagement of Alcohol or other Drug Treatment - DMC19,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time- DMD04,Call Center – Information Accuracy- DMD05,Drug-Drug Interactions - DMD06,Diabetes Medication Dosing - DMD07,Completeness of the Drug Plan's Information on Members Who Need Extra Help - DMD08,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD09,MPF - Stability - DMD10,Grievance Rate - DMD11,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD12,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD13,Getting Information from Drug Plan - DMD14,Call Center—Pharmacy Hold Time measures - DMD15,Plan Submitted Higher Prices for Display on MPF - DMD16,Enrollment Timeliness - DME01
H0439,"CIGNA HEALTHCARE OF GEORGIA, INC.",CIGNA,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0480,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Caidan Enterprises, Inc.",Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0490,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",Local CCP,Not enough data available,86%,Not enough data available,Not enough data available,94%,No data available,Not enough data available,No data available,0:15,85%,No data available,92%,No data available,CMS Found Issues with Plan’s Data,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:15,71%,8.4%,0.00%,99.90%,100%,103,No Data Available,30.0%,No data available,No data available,0:15,95,No data available
H0502,THE CONTRA COSTA HEALTH PLAN,Contra Costa Health Services,1876 Cost,Not enough data available,47%,Benefit not offered by plan,Benefit not offered by plan,Benefit not offered by plan,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,93%,Plan not required to report measure,Plan not required to report measure,Not enough data available,Benefit not offered by plan,Benefit not offered by plan,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available
H0504,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,Local CCP,30%,67%,53%,84%,90%,77%,30%,90%,1:22,80%,74%,93%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.50%,61%,76%,18%,2%,100%,No data available,0.50%,1:22,78%,7.0%,1.26%,99.80%,96%,100,CMS Found Issues with Plan's Data,0.3%,12.95%,Not enough data available,0:03,99,94%
H0523,AETNA HEALTH OF CALIFORNIA INC.,Aetna Inc.,Local CCP,40%,88%,52%,89%,87%,76%,26%,88%,0:19,89%,68%,95%,1.60,Plan not required to report measure,0.48%,68%,80%,70%,6%,100%,No data available,0.48%,0:19,85%,8.8%,0.55%,99.90%,100%,100,1.60,52.5%,20.65%,87%,0:08,98,96%
H0524,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",Local CCP,79%,81%,71%,92%,96%,82%,79%,91%,0:12,84%,81%,96%,4.28,78.1%,0.58%,79%,94%,27%,5%,83%,100.00%,0.58%,0:12,85%,3.5%,1.41%,99.90%,100%,100,4.28,82.2%,18.23%,83%,0:01,98,91%
H0543,"UHC OF CALIFORNIA, INC.","UnitedHealth Group, Inc.",Local CCP,41%,76%,57%,84%,90%,74%,30%,89%,0:15,83%,73%,94%,4.43,7.4%,1.01%,65%,79%,13%,1%,100%,100.00%,1.01%,0:15,82%,7.0%,0.93%,99.80%,100%,100,4.43,2.7%,15.83%,Not enough data available,0:17,98,97%
H0544,CAREMORE HEALTH PLAN,"WellPoint, Inc.",Local CCP,59%,90%,53%,90%,94%,66%,32%,89%,0:33,83%,69%,97%,CMS Found Issues with Plan’s Data,CMS Found Issues with Plan’s Data,0.44%,69%,87%,7%,1%,80%,100.00%,0.44%,0:33,81%,7.6%,0.52%,99.70%,84%,98,CMS Found Issues with Plan's Data,7.4%,16.95%,85%,0:03,99,98%
H0545,"INTER VALLEY HEALTH PLAN, INC.",InterValley Health Plan,Local CCP,Not enough data available,94%,56%,92%,90%,79%,37%,90%,0:10,88%,77%,97%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.00%,67%,84%,8%,0%,100%,100.00%,0.00%,0:03,84%,8.0%,0.52%,99.90%,92%,99,CMS Found Issues with Plan's Data,1.0%,10.67%,86%,0:02,99,98%
H0562,"HEALTH NET OF CALIFORNIA,INC.","Health Net, Inc.",Local CCP,66%,86%,58%,94%,90%,76%,28%,90%,0:43,81%,72%,95%,2.10,15.5%,0.50%,70%,84%,16%,2%,94%,100.00%,0.50%,0:43,70%,7.2%,1.14%,99.80%,96%,99,2.10,23.7%,11.74%,82%,0:17,99,98%
H0564,BLUE CROSS OF CALIFORNIA,"WellPoint, Inc.",Local CCP,31%,73%,48%,Not enough data available,90%,69%,30%,91%,0:49,88%,71%,90%,0.87,Plan not required to report measure,0.83%,58%,81%,24%,1%,No data available,No data available,0.83%,0:49,92%,7.7%,1.23%,99.90%,92%,100,0.87,11.9%,21.62%,Not enough data available,0:06,97,92%
H0571,CHINESE COMMUNITY HEALTH PLAN,Chinese Hospital Association,Local CCP,Not enough data available,94%,58%,Not enough data available,86%,62%,15%,85%,0:05,85%,62%,96%,0.50,CMS Found Issues with Plan’s Data,0.83%,76%,82%,Not enough data available,Not enough data available,No data available,No data available,0.83%,0:05,79%,5.2%,0.68%,99.90%,96%,101,0.50,11.8%,2.94%,78%,0:02,99,100%
H0602,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,"Rocky Mountain HMO, Inc.",1876 Cost,52%,83%,68%,87%,87%,84%,38%,91%,Not enough data available,Not enough data available,76%,96%,CMS Found Issues with Plan’s Data,Plan not required to report measure,Not enough data available,59%,66%,40%,4%,0%,100.00%,No data available,No data available,No data available,6.8%,1.58%,99.40%,96%,100,CMS Found Issues with Plan's Data,61.4%,16.88%,87%,No data available,77,94%
H0609,"PACIFICARE OF COLORADO, INC","UnitedHealth Group, Inc.",Local CCP,50%,76%,60%,83%,91%,81%,43%,91%,0:16,83%,82%,95%,4.11,Plan not required to report measure,1.21%,74%,80%,24%,2%,100%,100.00%,1.21%,0:16,82%,6.3%,1.01%,99.90%,100%,99,4.11,2.7%,15.42%,Not enough data available,0:16,97,96%
H0620,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available,76%,Not enough data available,Not enough data available,100%,54%,Not enough data available,No data available,0:25,Plan not required to report measure,No data available,99%,0.75,95.5%,1.16%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,1.16%,0:25,Plan not required to report measure,7.7%,0.57%,100.00%,100%,99,0.75,0.0%,19.16%,No data available,0:16,98,No data available
H0621,COLORADO ACCESS,Colorado Access,Local CCP,74%,81%,45%,Not enough data available,89%,58%,42%,Not enough data available,0:10,89%,64%,91%,2.54,10.7%,0.00%,74%,74%,34%,2%,0%,50.00%,0.00%,0:10,79%,6.4%,0.46%,99.80%,100%,99,2.54,CMS Found Issues with Plan's Data,No data available,77%,0:05,98,99%
H0623,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Not enough data available,95%,63%,Not enough data available,89%,75%,32%,92%,0:20,87%,68%,92%,1.12,Plan not required to report measure,1.32%,63%,78%,36%,1%,No data available,No data available,1.32%,0:20,92%,6.3%,1.13%,100.00%,100%,101,1.12,10.4%,27.27%,Not enough data available,0:10,97,95%
H0624,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,84%,76%,60%,Not enough data available,91%,57%,35%,Not enough data available,0:22,Plan not required to report measure,73%,94%,7.10,25.7%,1.50%,75%,79%,32%,3%,No data available,No data available,1.50%,0:22,Plan not required to report measure,11.4%,1.84%,99.90%,100%,100,7.10,2.3%,No data available,Not enough data available,0:16,98,No data available
H0630,KAISER FOUNDATION HP OF CO,"Kaiser Foundation Health Plan, Inc.",Local CCP,91%,90%,74%,100%,94%,80%,63%,92%,0:05,84%,86%,96%,1.90,41.0%,2.50%,84%,93%,23%,5%,No data available,No data available,2.50%,0:05,85%,2.9%,0.86%,99.70%,100%,100,1.90,79.6%,17.61%,88%,0:02,95,89%
H0657,COLORADO CHOICE HEALTH PLANS,Colorado Choice Health Plans,1876 Cost,Not enough data available,93%,Not enough data available,Not enough data available,Not enough data available,61%,Not enough data available,92%,Not enough data available,Not enough data available,69%,89%,CMS Found Issues with Plan’s Data,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available
H0710,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,63%,76%,53%,Not enough data available,96%,65%,23%,No data available,0:23,Plan not required to report measure,No data available,98%,0.05,96.7%,1.00%,76%,87%,39%,2%,No data available,No data available,1.00%,0:23,Plan not required to report measure,7.7%,0.64%,99.90%,100%,100,0.05,0.2%,24.85%,No data available,0:16,99,No data available
H0712,"WELLCARE OF CONNECTICUT, INC.","WellCare Health Plans, Inc.",Local CCP,46%,81%,55%,Not enough data available,93%,65%,52%,89%,0:42,87%,59%,95%,3.44,55.7%,0.83%,73%,79%,38%,10%,100%,50.00%,0.83%,0:42,87%,4.0%,0.60%,99.90%,96%,99,3.44,13.6%,25.00%,Not enough data available,0:06,98,97%
H0752,"OXFORD HEALTH PLANS (CT), INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available,76%,74%,Not enough data available,91%,71%,43%,90%,0:16,83%,66%,94%,3.75,Plan not required to report measure,2.50%,68%,78%,51%,0%,No data available,No data available,2.50%,0:16,82%,4.2%,0.90%,100.00%,100%,101,3.75,1.3%,5.00%,Not enough data available,0:16,99,97%
H0755,"OXFORD HEALTH PLANS (CT), INC.","UnitedHealth Group, Inc.",Local CCP,72%,76%,64%,88%,91%,74%,40%,91%,0:21,83%,73%,96%,4.63,Plan not required to report measure,1.50%,73%,79%,47%,5%,100%,85.71%,1.50%,0:21,82%,5.8%,0.92%,99.90%,100%,100,4.63,2.2%,23.85%,Not enough data available,0:16,99,95%
H0773,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0811,"GUILDNET, INC.",Jewish Guild Healthcare,Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0838,"UNIVERSAL CARE, INC.","Universal Care, Inc",Local CCP,72%,93%,44%,Not enough data available,84%,Not enough data available,63%,Not enough data available,0:05,75%,45%,89%,CMS Found Issues with Plan’s Data,CMS Found Issues with Plan’s Data,0.00%,45%,82%,28%,4%,No data available,No data available,0.00%,0:05,76%,5.0%,0.56%,99.10%,100%,102,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,No data available,Not enough data available,0:11,95,81%
H0840,"FAMILYCARE HEALTH PLANS, INC.",FamilyCare Incorporated,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
