CY2011 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,
  * See next worksheet for technical notes.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Part D,,,,,,,,1/1/2009 - 12/31/2009,Part C,,,,,,,,,,,,,,
,,,Access,,,Call Center,Patient Safety,,,Plan Finder,,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,,,,,,,,,,
H1419,Aetna Medicare,"AETNA HEALTH,  INC.",Not measured,0.00%,Not measured,0.00%,2.41%,0.49%,50.99%,100.00%,41.60%,Not enough data available to calculate measure,72.28%,Not enough data available to calculate measure,Not enough data available to calculate measure,44.13%,,,,,,,,,,
H1463,Health Alliance Medical Plans,HEALTH ALLIANCE MEDICAL PLANS,Not measured,Not measured,84.34%,0.00%,8.26%,1.92%,68.92%,100.00%,3.20%,Not enough data available to calculate measure,80.73%,39.74%,100.00%,80.19%,,,,,,,,,,
H1468,"Humana Benefit Plan of Illinois, Inc.","HUMANA BENEFIT PLAN OF ILLINOIS, INC",Not measured,Not measured,95.12%,1.48%,12.84%,0.59%,68.69%,100.00%,16.60%,Not enough data available to calculate measure,97.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,25.18%,,,,,,,,,,
H1509,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,66.67%,100.00%,90.34%,1.09%,7.00%,1.56%,60.26%,91.67%,4.58%,65.15%,85.29%,51.79%,72.50%,25.00%,,,,,,,,,,
H1510,Humana Insurance Company,HUMANA INSURANCE COMPANY,85.71%,66.67%,88.52%,1.54%,7.59%,0.92%,61.19%,100.00%,12.13%,Not enough data available to calculate measure,97.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,30.17%,,,,,,,,,,
H1517,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",Not measured,Not measured,90.91%,0.00%,6.74%,0.00%,56.67%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1553,"Clarian Health Plans, Inc. - Senior Smart Choice","CLARIAN HEALTH PLANS, INC.",,,,,,,,Not measured,0.07%,Plan not required to report measure,68.83%,Benefit not offered by plan ,Benefit not offered by plan ,49.77%,,,,,,,,,,
H1558,Welborn Health Plans,WELBORN HEALTH PLAN,,,,,,,,Not measured,38.08%,Not enough data available to calculate measure,89.61%,Not enough data available to calculate measure,Not enough data available to calculate measure,78.59%,,,,,,,,,,
H1595,HealthPlus,HEALTHPLUS INSURANCE COMPANY,Not measured,Not measured,100.00%,0.00%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H1607,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",100.00%,100.00%,93.44%,0.00%,7.14%,1.51%,55.60%,100.00%,22.27%,Not enough data available to calculate measure,83.09%,Not enough data available to calculate measure,Not enough data available to calculate measure,53.94%,,,,,,,,,,
H1608,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Not measured,Not measured,91.50%,0.00%,7.19%,2.24%,68.73%,100.00%,34.79%,Not enough data available to calculate measure,70.25%,Not enough data available to calculate measure,Not enough data available to calculate measure,45.83%,,,,,,,,,,
H1609,Coventry Health Care,"COVENTRY HEALTH CARE OF IOWA, INC.",100.00%,100.00%,83.16%,0.00%,7.25%,1.90%,66.61%,100.00%,36.19%,Not enough data available to calculate measure,70.25%,60.42%,89.74%,43.06%,,,,,,,,,,
H1643,Highmark Health Insurance Company,HM HEALTH INSURANCE COMPANY,Not measured,0.00%,Not measured,0.83%,8.72%,1.05%,56.12%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1651,"Medical Associates Health Plan, Inc.","MEDICAL ASSOCIATES HEALTH PLAN, INC.",,,,,,,,Not measured,1.73%,Not enough data available to calculate measure,59.66%,Benefit not offered by plan ,Benefit not offered by plan ,73.72%,,,,,,,,,,
H1657,WellCare,"HARMONY HEALTH PLANS OF ILLINOIS, INC.",Not measured,Not measured,Not measured,0.83%,6.32%,1.51%,48.25%,100.00%,2.18%,Not enough data available to calculate measure,90.14%,Not enough data available to calculate measure,Not enough data available to calculate measure,50.40%,,,,,,,,,,
H1681,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,Not measured,92.05%,1.48%,8.36%,0.97%,52.46%,100.00%,37.71%,Not enough data available to calculate measure,97.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H1689,"Anthem Insurance Companies, Inc.","ANTHEM INSURANCE COMPANIES, INC.",80.00%,100.00%,90.55%,0.00%,7.93%,1.23%,64.59%,100.00%,18.23%,43.48%,83.09%,58.77%,85.19%,Plan not required to report measure,,,,,,,,,,
H1716,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,50.00%,87.71%,1.48%,7.00%,0.88%,61.40%,100.00%,38.02%,70.83%,97.42%,58.62%,Not enough data available to calculate measure,30.41%,,,,,,,,,,
H1717,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,95.75%,1.14%,7.07%,1.32%,50.10%,91.67%,37.88%,Not enough data available to calculate measure,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,30.91%,,,,,,,,,,
H1777,"ArchCare Advantage,HMO","CATHOLIC SPECIAL NEEDS PLAN, LLC",Not measured,Not measured,90.05%,0.83%,11.34%,1.15%,64.78%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1804,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,100.00%,91.67%,1.48%,7.37%,1.39%,59.67%,100.00%,0.00%,61.13%,97.42%,51.63%,82.31%,Plan not required to report measure,,,,,,,,,,
H1806,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,100.00%,90.49%,1.54%,8.24%,1.17%,58.60%,100.00%,14.52%,72.50%,97.42%,61.70%,92.86%,16.55%,,,,,,,,,,
H1807,Passport Advantage,"UNIVERSITY HEALTH CARE, INC.",100.00%,100.00%,97.72%,0.00%,13.12%,0.82%,54.84%,100.00%,3.33%,29.82%,97.41%,38.30%,90.00%,31.42%,,,,,,,,,,
H1837,Essence Healthcare,"ESSENCE HEALTHCARE, INC.",Not measured,Not measured,69.62%,1.67%,5.46%,1.82%,68.46%,100.00%,5.04%,Not enough data available to calculate measure,97.80%,Not enough data available to calculate measure,Not enough data available to calculate measure,41.36%,,,,,,,,,,
H1846,MediGold,MOUNT CARMEL HEALTH INSURANCE COMPANY,Not measured,Not measured,100.00%,0.00%,8.23%,1.11%,61.17%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1849,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",Not measured,100.00%,93.92%,0.00%,8.34%,0.66%,58.09%,100.00%,8.28%,Not enough data available to calculate measure,83.09%,28.21%,63.89%,41.44%,,,,,,,,,,
H1903,WellCare,"WELLCARE OF LOUISIANA, INC.",Not measured,Not measured,97.69%,1.67%,9.08%,0.83%,50.41%,100.00%,24.36%,43.59%,91.30%,Not enough data available to calculate measure,Not enough data available to calculate measure,21.17%,,,,,,,,,,
H1906,"Humana Health Benefit Plan of LA, Inc.","HUMANA HEALTH BENEFIT PLAN OF LA, INC.",100.00%,100.00%,87.01%,1.48%,11.61%,1.35%,57.69%,100.00%,20.60%,48.39%,97.42%,65.71%,Not enough data available to calculate measure,Plan not required to report measure,,,,,,,,,,
H1944,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,90.15%,0.58%,7.62%,2.40%,60.74%,91.67%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H1951,Humana Health Benefit Plan of Louisiana Inc,HUMANA HEALTH BENEFIT PLAN OF LOUISIANA INC,94.12%,100.00%,89.75%,1.48%,9.53%,1.20%,57.70%,100.00%,5.49%,59.76%,97.42%,45.87%,83.58%,38.69%,,,,,,,,,,
H1961,Peoples Health,"PEOPLES HEALTH, INC.",100.00%,100.00%,95.21%,0.83%,9.64%,1.67%,58.74%,100.00%,7.65%,24.04%,48.98%,51.81%,80.08%,28.95%,,,,,,,,,,
H2001,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,89.74%,0.58%,5.56%,1.19%,68.79%,91.67%,17.99%,Not enough data available to calculate measure,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,42.13%,,,,,,,,,,
H2012,"Humana Health Plan, Inc","HUMANA HEALTH PLAN, INC.",100.00%,100.00%,89.37%,1.48%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2029,"Humana Insurance of Puerto Rico, Inc.","HUMANA INSURANCE OF PUERTO RICO, INC.",Not measured,Not measured,76.11%,3.33%,5.31%,0.73%,30.80%,100.00%,23.39%,Not enough data available to calculate measure,73.05%,Not enough data available to calculate measure,Not enough data available to calculate measure,0.00%,,,,,,,,,,
H2034,Community Care,"COMMUNITY CARE HEALTH PLAN, INC.",Not measured,Not measured,62.38%,0.00%,13.95%,15.25%,87.65%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2108,Bravo Health,BRAVO HEALTH MID- ATLANTIC INC.,100.00%,75.00%,91.53%,0.00%,5.57%,0.65%,49.95%,100.00%,14.27%,47.92%,83.10%,35.62%,81.97%,18.60%,,,,,,,,,,
H2111,Evercare« by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,97.01%,2.08%,9.57%,1.58%,53.96%,91.67%,42.94%,48.65%,85.29%,58.82%,Not enough data available to calculate measure,29.63%,,,,,,,,,,
H2112,Aetna Medicare,"AETNA HEALTH, INC.",100.00%,75.00%,Not measured,0.00%,8.08%,1.81%,60.13%,100.00%,21.20%,45.24%,72.28%,Not enough data available to calculate measure,Not enough data available to calculate measure,25.00%,,,,,,,,,,
H2150,Kaiser Permanente Medicare Plus,KAISER FNDN HP OF THE MID-ATLANTIC STS,50.00%,100.00%,79.11%,Not measured,4.54%,1.82%,64.71%,100.00%,3.11%,87.69%,83.50%,50.17%,82.58%,87.12%,,,,,,,,,,
H2165,HealthSpring Life & Health,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Not measured,100.00%,96.20%,0.83%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2169,UPMC Health Plan,UPMC HEALTH PLAN INC.,Not measured,Not measured,Not measured,2.50%,0.00%,0.00%,59.94%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2174,Trillium Advantage,TRILLIUM COMMUNITY HEALTH PLAN,Not measured,0.00%,91.95%,0.00%,6.00%,1.15%,67.82%,91.67%,8.58%,61.40%,98.67%,Not enough data available to calculate measure,Not enough data available to calculate measure,59.85%,,,,,,,,,,
H2182,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,93.13%,0.58%,5.25%,0.98%,53.86%,91.67%,16.96%,Not enough data available to calculate measure,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H2224,Senior Whole Health,"SENIOR WHOLE HEALTH, LLC",Not measured,Not measured,41.29%,0.00%,6.59%,1.04%,63.63%,100.00%,4.83%,Not enough data available to calculate measure,96.25%,52.27%,88.24%,2.56%,,,,,,,,,,
H2225,"Commonwealth Care Alliance, Inc.","COMMONWEALTH CARE ALLIANCE, INC.",100.00%,100.00%,60.54%,0.00%,5.69%,1.50%,60.68%,100.00%,4.02%,Not enough data available to calculate measure,97.67%,Not enough data available to calculate measure,Not enough data available to calculate measure,68.86%,,,,,,,,,,
H2226,Evercare« by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,76.53%,0.83%,7.15%,1.68%,59.63%,91.67%,6.10%,Not enough data available to calculate measure,85.32%,51.35%,Not enough data available to calculate measure,42.13%,,,,,,,,,,
H2228,Evercare« by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,100.00%,96.12%,2.08%,7.02%,1.04%,61.65%,91.67%,48.05%,80.00%,85.29%,54.65%,97.56%,40.28%,,,,,,,,,,
H2230,Blue Cross Blue Shield of Massachusetts,"BLUE CROSS AND BLUE SHIELD OF MA HMO BLUE, INC.",Not measured,Not measured,99.34%,0.84%,2.83%,2.22%,70.15%,100.00%,13.19%,Not enough data available to calculate measure,69.99%,Not enough data available to calculate measure,Not enough data available to calculate measure,0 - Plan reported a Biased Rate,,,,,,,,,,
H2237,iCare,"INDEPENDENT CARE HEALTH PLAN, INC.",Not measured,Not measured,98.23%,0.00%,9.28%,1.25%,46.90%,100.00%,11.67%,49.40%,0 - Plan reported a Biased Rate,Not enough data available to calculate measure,Not enough data available to calculate measure,43.31%,,,,,,,,,,
H2241,"Golden State Medicare Health Plan, Golden (HMO)",GOLDEN STATE MEDICARE HEALTH PLAN,Not measured,Not measured,Not measured,1.67%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H2256,Tufts Health Plan Medicare Preferred,"TUFTS ASSOCIATED HMO, INC.",0.00%,100.00%,93.82%,4.17%,5.59%,0.91%,70.08%,100.00%,3.09%,88.81%,74.70%,52.64%,93.90%,67.15%,,,,,,,,,,
H2261,Blue Cross Blue Shield of Massachusetts,"BLUE CROSS AND BLUE SHIELD OF MA HMO BLUE, INC.",Not measured,100.00%,93.62%,0.84%,6.18%,1.12%,70.33%,100.00%,36.53%,75.86%,69.99%,61.83%,91.91%,46.96%,,,,,,,,,,
H2291,,,Not measured,Not measured,Not measured,Not measured,3.90%,0.00%,39.42%,Not measured,,,,,,,,,,,,,,,,
H2312,HAP Senior Plus,HEALTH ALLIANCE PLAN OF MICHIGAN,Not measured,Not measured,84.07%,0.00%,5.61%,0.85%,67.47%,100.00%,4.01%,75.00%,63.12%,50.63%,93.94%,63.52%,,,,,,,,,,
H2319,Blue Cross Blue Shield of Michigan,BLUE CROSS BLUE SHIELD OF MICHIGAN,94.44%,100.00%,90.25%,0.00%,7.46%,1.25%,70.56%,100.00%,81.06%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H2320,Priority Health Medicare,PRIORITY HEALTH,100.00%,100.00%,85.27%,0.00%,5.83%,1.41%,70.20%,100.00%,3.65%,61.76%,63.56%,67.77%,86.27%,92.27%,,,,,,,,,,
H2322,Alliance Medicare PPO,"ALLIANCE HEALTH AND LIFE INSURANCE, CO",100.00%,Not measured,80.86%,0.83%,6.65%,0.77%,66.66%,100.00%,19.29%,Not enough data available to calculate measure,61.49%,Not enough data available to calculate measure,Not enough data available to calculate measure,4.38%,,,,,,,,,,
H2323,Fidelis SecureCare Of Michigan,FIDELIS SECURECARE OF MICHIGAN,Not measured,Not measured,98.87%,0.00%,13.88%,0.28%,68.87%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2354,HealthPlus of Michigan,HEALTHPLUS OF MICHIGAN,Not measured,Not measured,97.16%,0.00%,9.37%,1.95%,69.31%,100.00%,2.15%,Not enough data available to calculate measure,77.45%,Not enough data available to calculate measure,97.22%,46.08%,,,,,,,,,,
H2406,Evercare« by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,98.02%,0.83%,10.62%,1.97%,75.98%,91.67%,9.65%,Not enough data available to calculate measure,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,58.21%,,,,,,,,,,
H2409,Medica Insurance Company,MEDICA INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,2.50%,3.24%,74.80%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2410,Medica Health Plans,MEDICA HEALTH PLANS,100.00%,Not measured,86.71%,0.00%,4.57%,1.42%,63.42%,100.00%,8.25%,Not enough data available to calculate measure,74.81%,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,,,,,,,,,,
H2411,Fallon Community Health Plan,FALLON COMMUNITY HEALTH PLAN,Not measured,Not measured,50.00%,0.83%,7.25%,0.00%,72.30%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2416,PrimeWest Health,PRIMEWEST HEALTH SYSTEM,100.00%,Not measured,Not measured,0.00%,13.34%,1.76%,74.44%,100.00%,2.05%,Not enough data available to calculate measure,78.66%,70.97%,Not enough data available to calculate measure,37.93%,,,,,,,,,,
H2417,Itasca Medical Care/IMCare Classic,ITASCA MEDICAL CARE,Not measured,Not measured,Not measured,1.67%,9.07%,0.00%,75.13%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2419,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,Not measured,Not measured,Not measured,0.00%,12.71%,1.97%,76.43%,100.00%,1.96%,Not enough data available to calculate measure,85.37%,Not enough data available to calculate measure,Not enough data available to calculate measure,50.61%,,,,,,,,,,
H2422,HealthPartners Classic MN Senior Health Options,"HEALTHPARTNERS, INC.",Not measured,Not measured,Not measured,0.00%,6.19%,1.09%,65.82%,100.00%,3.67%,Not enough data available to calculate measure,94.83%,Not enough data available to calculate measure,Not enough data available to calculate measure,82.24%,,,,,,,,,,
H2425,Blue Plus,BLUE PLUS,100.00%,100.00%,Not measured,0.00%,10.55%,2.87%,73.58%,100.00%,2.22%,42.11%,77.64%,73.83%,86.67%,3.19%,,,,,,,,,,
H2450,Medica Insurance Company,MEDICA INSURANCE COMPANY,57.14%,50.00%,86.46%,Not measured,6.74%,1.90%,71.34%,100.00%,4.95%,68.12%,74.81%,58.39%,82.84%,69.34%,,,,,,,,,,
H2456,UCare,UCARE MINNESOTA,Not measured,100.00%,Not measured,0.00%,9.25%,1.72%,68.09%,100.00%,3.17%,59.38%,69.32%,56.57%,91.89%,49.64%,,,,,,,,,,
H2457,Metropolitan Health Plan MSHO,METROPOLITAN HEALTH PLAN,Not measured,Not measured,Not measured,0.83%,6.19%,1.25%,64.61%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2458,Medica Health Plans,MEDICA HEALTH PLANS,0.00%,Not measured,Not measured,0.00%,8.53%,2.32%,70.09%,100.00%,3.20%,69.81%,Plan not required to report measure,61.54%,88.89%,7.54%,,,,,,,,,,
H2459,UCare,UCARE MINNESOTA,100.00%,100.00%,91.41%,0.00%,5.64%,1.44%,72.62%,100.00%,3.66%,75.22%,69.32%,61.94%,80.75%,56.45%,,,,,,,,,,
H2461,Blue Cross Blue Shield of Minnesota,BLUE CROSS BLUE SHIELD OF MINNESOTA,,,,,,,,Not measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2462,HealthPartners Freedom Plan,"GROUP HEALTH INC,",100.00%,100.00%,86.74%,Not measured,5.69%,1.51%,76.44%,100.00%,2.83%,75.00%,84.46%,70.00%,95.10%,86.37%,,,,,,,,,,
H2481,CareSource,MID ROGUE INDEPENDENT PHYSICIAN ASSOCIATION,Not measured,Not measured,Not measured,0.00%,16.55%,0.00%,60.99%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2486,Humana Medical Plan of Utah,"HUMANA MEDICAL PLAN OF UTAH, INC.",Not measured,Not measured,86.96%,1.62%,7.19%,0.00%,54.86%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H2491,WellCare,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",Not measured,Not measured,97.89%,3.33%,5.30%,1.69%,45.14%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
