CY2015 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,Both Part C & Part D,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring of Patients Taking Long-term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Special Needs Plan (SNP) Care Management - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Reminders for Appointments - DMC16,Reminders for Immunizations - DMC17,Reminders for Screening Tests - DMC18,Computer used during Office Visits - DMC19,Computer use by Provider Helpful - DMC20,Computer use Made Talking to Provider Easier - DMC21,Breast Cancer Screening - DMC22,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Drug-Drug Interactions  - DMD03,Diabetes Medication Dosing - DMD04,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD05,MPF – Stability - DMD06,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD07,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD08,Getting Information from Drug Plan - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD11,Transition monitoring - failure rate for all other drugs - DMD12,Reminders to fill prescriptions - DMD13,Reminders to take medications - DMD14,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07",Beneficiary Access and Performance Problems - DME08
H0354,Cigna,"CIGNA HEALTHCARE OF ARIZONA, INC.",CIGNA,CMS Found Issues with Plan’s Data,86%,59%,93%,97%,87%,32%,92%,82%,97%,No data available,64%,82%,CMS Found Issues with Plan’s Data,CMS Found Issues with Plan’s Data,63%,44%,33%,96%,Not enough data available,56%,83%,No data available,No data available,5.2%,0.05%,100%,98,29.3%,18.92%,87%,99,No data available,No data available,19%,9%,94%,1.04,14,21,25,4,9,100
H0408,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,86%,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,No data available,No data available,96%,No data available,Plan too small to be measured,30.00%,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available,100
H0423,MetroPlus Health Plan,"METROPLUS HEALTH PLAN, INC.",New York City Health and Hospitals Corporation,55%,63%,41%,91%,94%,70%,46%,No data available,57%,95%,35.7%,75%,89%,39%,7%,70%,62%,57%,95%,Not enough data available,61%,84%,100%,No data available,4.0%,0.26%,100%,101,22.5%,No data available,75%,99,No data available,0.0%,52%,58%,98%,0.86,23,34,19,21,19,80
H0435,GLOBALHEALTH MEDICARE,"GLOBALHEALTH, INC.","Kinderhook Capital Fund III, L.P.",Not enough data available,81%,Not enough data available,Not enough data available,97%,No data available,Not enough data available,No data available,No data available,92%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,No data available,No data available,100%,107,Plan too small to be measured,No data available,No data available,94,No data available,No data available,No data available,No data available,88%,No Data Available,No data available,No data available,No data available,No data available,No data available,80
H0439,Cigna-HealthSpring,"CIGNA HEALTHCARE OF GEORGIA, INC.",CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,96%,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H0480,Meridian Complete,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Caidan Enterprises, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0490,Molina Healthcare of Ohio,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",Not enough data available,73%,Not enough data available,Not enough data available,88%,No data available,Not enough data available,No data available,No data available,95%,CMS Found Issues with Plan’s Data,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,6.4%,0.00%,100%,97,37.2%,No data available,No data available,98,No data available,0.0%,No data available,No data available,No data available,CMS Found Issues with Plan's Data,33,51,12,12,14,100
H0502,Contra Costa Health Plan,THE CONTRA COSTA HEALTH PLAN,Contra Costa Health Services,Not enough data available,41%,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,No data available,Not enough data available,No data available,No data available,94%,Plan not required to report measure,Benefit not offered by plan ,Benefit not offered by plan ,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,68%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,100
H0504,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,24%,78%,47%,87%,91%,76%,29%,90%,75%,94%,Plan not required to report measure,56%,76%,39%,3%,60%,46%,37%,81%,Not enough data available,52%,78%,100%,100.00%,5.9%,1.04%,96%,88,15.6%,6.52%,No data available,86,0.0%,0.0%,42%,18%,94%,5.71,18,26,17,10,13,80
H0523,Aetna Medicare,AETNA HEALTH OF CALIFORNIA INC.,Aetna Inc.,41%,89%,50%,91%,91%,74%,27%,89%,68%,95%,Plan not required to report measure,73%,82%,81%,3%,64%,57%,41%,81%,Not enough data available,54%,76%,100%,No data available,6.9%,0.48%,100%,97,35.7%,16.67%,No data available,99,0.0%,0.0%,34%,15%,98%,1.44,12,13,30,10,8,80
H0524,Kaiser Permanente,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",81%,79%,60%,93%,95%,84%,78%,92%,81%,96%,79.0%,79%,93%,26%,5%,67%,61%,40%,97%,97%,63%,91%,100%,100.00%,2.8%,1.33%,100%,99,81.5%,16.64%,83%,98,6.7%,0.0%,13%,12%,78%,4.22,14,11,33,8,11,80
H0543,UnitedHealthcare,"UHC OF CALIFORNIA, INC.","UnitedHealth Group, Inc.",43%,86%,51%,85%,91%,72%,29%,90%,69%,95%,No data available,67%,81%,14%,1%,62%,50%,43%,79%,Not enough data available,53%,76%,100%,100.00%,6.1%,0.89%,96%,99,17.7%,14.50%,No data available,98,0.0%,20.0%,48%,18%,97%,CMS Found Issues with Plan's Data,16,21,22,6,11,60
H0544,CareMore Health Plan,CAREMORE HEALTH PLAN,"WellPoint, Inc.",58%,87%,42%,89%,95%,69%,35%,91%,73%,97%,99.5%,72%,87%,5%,0%,72%,66%,44%,76%,94%,57%,81%,100%,No data available,6.9%,0.45%,96%,97,15.7%,13.56%,82%,99,0.0%,0.0%,47%,19%,97%,0.71,23,27,17,7,14,80
H0545,Inter Valley Health Plan,"INTER VALLEY HEALTH PLAN, INC.",InterValley Health Plan,29%,88%,47%,85%,91%,79%,43%,89%,72%,97%,Plan not required to report measure,70%,86%,9%,0%,51%,36%,33%,71%,Not enough data available,52%,77%,100%,No data available,6.8%,0.45%,96%,98,11.8%,14.71%,87%,99,No data available,0.0%,35%,12%,98%,1.82,10,16,18,10,8,100
H0562,Health Net of California,"HEALTH NET OF CALIFORNIA,INC.","Health Net, Inc.",50%,79%,50%,91%,93%,76%,30%,91%,75%,96%,36.9%,68%,82%,16%,1%,61%,49%,41%,80%,94%,56%,79%,96%,100.00%,5.9%,0.37%,100%,99,26.8%,13.79%,76%,99,0.0%,13.3%,39%,23%,97%,2.55,10,19,23,8,8,60
H0564,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,"WellPoint, Inc.",45%,85%,48%,80%,92%,73%,26%,90%,62%,90%,Plan not required to report measure,68%,76%,23%,1%,52%,39%,32%,72%,Not enough data available,60%,71%,No data available,No data available,6.1%,0.63%,100%,99,11.1%,8.33%,No data available,96,No data available,26.7%,40%,14%,94%,CMS Found Issues with Plan's Data,16,15,38,11,11,100
H0571,Chinese Community Health Plan,CHINESE COMMUNITY HEALTH PLAN,Chinese Hospital Association,Not enough data available,94%,46%,Not enough data available,89%,63%,16%,84%,60%,98%,CMS Found Issues with Plan’s Data,79%,89%,Not enough data available,Not enough data available,66%,79%,57%,68%,94%,42%,68%,100%,No data available,5.7%,0.63%,100%,96,10.7%,3.13%,83%,83,No data available,6.7%,36%,56%,100%,CMS Found Issues with Plan's Data,36,39,15,13,15,80
H0602,Rocky Mountain Health Plans,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,"Rocky Mountain HMO, Inc.",63%,80%,59%,85%,88%,83%,34%,90%,76%,96%,Plan not required to report measure,57%,70%,33%,3%,48%,24%,27%,83%,Not enough data available,45%,73%,100%,No data available,5.9%,1.17%,100%,97,43.1%,15.00%,83%,73,0.0%,20.0%,22%,8%,95%,6.98,9,5,37,9,6,100
H0609,UnitedHealthcare,"PACIFICARE OF COLORADO, INC","UnitedHealth Group, Inc.",51%,86%,53%,84%,92%,83%,42%,92%,78%,95%,Plan not required to report measure,74%,77%,25%,1%,63%,46%,37%,77%,Not enough data available,48%,68%,100%,100.00%,5.3%,0.99%,96%,99,19.6%,15.34%,84%,97,0.0%,13.3%,43%,14%,95%,4.57,11,27,18,11,10,80
H0620,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,86%,Not enough data available,Not enough data available,97%,61%,Not enough data available,No data available,No data available,99%,92.3%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,36%,No data available,No data available,12.1%,0.87%,96%,No data available,2.6%,17.43%,No data available,98,0.0%,0.0%,No data available,No data available,No data available,0.82,No data available,No data available,No data available,No data available,No data available,100
H0621,Colorado Access Advantage,COLORADO ACCESS,Colorado Access,75%,77%,55%,Not enough data available,89%,59%,33%,No data available,58%,94%,20.5%,77%,86%,31%,2%,56%,46%,44%,89%,Not enough data available,48%,57%,No data available,No data available,7.4%,0.56%,96%,98,11.2%,No data available,72%,91,No data available,26.7%,36%,28%,97%,CMS Found Issues with Plan's Data,29,31,26,17,25,100
H0624,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",67%,86%,47%,Not enough data available,91%,60%,34%,No data available,72%,95%,39.3%,70%,91%,26%,4%,63%,50%,46%,86%,Not enough data available,53%,55%,100%,No data available,9.7%,2.31%,96%,98,19.0%,No data available,77%,98,No data available,0.0%,46%,30%,No data available,4.99,15,28,23,11,16,80
H0630,Kaiser Permanente,KAISER FOUNDATION HP OF CO,"Kaiser Foundation Health Plan, Inc.",89%,91%,53%,100%,95%,82%,52%,92%,86%,96%,62.5%,78%,86%,22%,12%,59%,47%,40%,95%,96%,56%,86%,No data available,No data available,2.7%,0.75%,100%,99,77.9%,17.55%,92%,97,No data available,0.0%,10%,11%,71%,2.05,16,25,20,4,12,80
H0657,Colorado Choice Health Plans,COLORADO CHOICE HEALTH PLANS,Colorado Choice Health Plans,Not enough data available,89%,Not enough data available,Not enough data available,Not enough data available,59%,Not enough data available,No data available,71%,89%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,36%,23%,13%,82%,Not enough data available,52%,43%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,77%,CMS Found Issues with Plan's Data,No data available,No data available,No data available,No data available,No data available,100
H0710,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,86%,77%,Not enough data available,98%,55%,Not enough data available,No data available,No data available,100%,94.1%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,25%,No data available,No data available,7.4%,0.37%,96%,No data available,1.8%,21.61%,No data available,100,No data available,0.0%,No data available,No data available,No data available,0.04,No data available,No data available,No data available,No data available,No data available,100
